ubuntu@client-measure-70l6:~/memcache-perf$ ./mcperf -s 100.96.3.4 -a 10.156.0.58 -a 10.156.0.61  \
>            --noload -T 6 -C 4 -D 4 -Q 1000 -c 4 -t 20 \
>            --scan 30000:30500:10
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      227.1   292.0    68.9   107.9   117.9   185.8   233.6   266.6   290.6   318.3   355.3   417.7   616.6  3666.7 11560.7  29997.6    30000
read      225.5   414.1    68.9   103.4   112.2   176.2   222.5   254.3   278.9   308.9   346.7   409.5   640.1  4912.0 16902.5  30042.5    30010
read      218.0   300.2    68.9   104.9   113.6   174.2   219.0   250.9   274.9   303.6   339.8   399.1   593.8  4260.4 10798.3  30036.7    30020
read      230.4   348.9    68.9   106.0   115.5   185.0   232.7   264.9   289.1   318.2   357.8   423.0   634.4  4379.1 13924.5  29998.9    30030
read      229.0   317.1    68.9   107.4   117.0   185.5   232.7   265.3   289.6   318.0   355.7   416.4   610.6  4111.2 13261.6  29989.9    30040
read      243.2   403.3    68.9   107.5   117.7   194.5   245.9   279.6   305.7   337.2   377.1   444.5   688.2  5336.5 16036.3  30037.7    30050
read      225.3   350.9    74.4   106.2   114.9   177.0   223.7   257.5   282.4   311.3   348.3   409.3   616.9  5630.4 14128.6  30035.0    30060
read      222.8   355.2    68.9   105.7   114.5   176.9   224.4   257.2   281.4   309.9   345.6   403.3   584.2  4595.4 14874.5  30036.2    30070
read      219.5   390.8    68.9   103.5   111.8   172.1   216.1   247.1   271.4   300.2   337.5   395.4   587.5  5141.5 15662.6  30028.9    30080
read      226.8   388.5    68.9   104.8   114.2   179.8   227.1   259.1   282.9   311.3   347.9   409.6   612.2  5237.4 16573.8  30100.5    30090
read      212.8   305.3    68.9   104.7   113.3   171.1   213.7   243.9   267.1   294.3   329.5   385.0   545.8  3837.6 12322.0  30086.0    30100
read      221.6   324.7    68.9   105.1   114.1   179.0   223.6   253.9   277.6   306.7   343.4   401.6   595.0  4148.7 13846.4  30086.0    30110
read      223.3   354.5    68.9   105.8   115.2   180.8   225.3   255.2   278.5   307.1   343.5   401.1   583.5  4634.4 14602.6  30207.2    30120
read      207.7   200.6    68.9   106.9   116.9   178.3   218.3   244.7   265.1   289.3   319.7   369.5   497.6  2190.4  8708.0  30142.9    30130
^C
