ubuntu@client-measure-70l6:~/memcache-perf$ ./mcperf -s 100.96.3.4 -a 10.156.0.58 -a 10.156.0.61             --noload -T 6 -C 4 -D 4 -Q 1000 -c 4 -t 20            --scan 30000:30500:10
#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999     QPS   target
read      220.6   366.8    68.9   105.8   115.2   182.2   224.3   251.5   272.8   299.5   335.5   393.2   552.5  4020.1 16796.6  29956.2    30000
read      227.7   331.6    68.9   106.2   115.9   188.2   234.6   264.1   286.2   313.7   349.8   407.6   583.7  4162.2 15321.6  30084.2    30010
read      220.8   315.7    68.9   104.6   113.8   181.8   225.2   252.6   274.1   302.0   339.3   399.0   592.8  4010.6 13102.1  29976.2    30020
read      217.3   303.4    68.9   104.8   113.6   176.2   218.7   247.3   269.3   296.9   335.8   397.7   584.6  4155.5 12798.2  30037.1    30030
read      216.0   278.1    68.9   104.3   113.3   178.2   219.5   247.9   271.4   302.5   343.4   402.6   562.9  3151.6 12142.0  30059.0    30040
read      222.5   329.2    68.9   105.7   114.9   178.3   223.7   254.9   279.6   310.4   350.4   413.1   616.3  4295.1 12548.5  30066.4    30050
read      226.1   338.6    68.9   105.1   114.3   182.5   227.7   257.6   281.2   310.9   350.0   413.8   622.2  5105.7 15441.3  30065.4    30060
read      223.2   331.3    68.9   104.6   113.5   178.7   222.5   252.8   277.2   308.0   347.0   408.6   625.3  4911.4 13774.5  30091.2    30070
read      233.7   325.6    68.9   108.0   118.0   190.1   238.0   270.1   294.2   324.1   363.6   426.4   630.0  4386.9 11955.3  30080.1    30080
read      216.1   355.1    68.9   103.1   111.4   170.7   213.4   243.2   267.6   296.8   335.1   394.6   603.8  4302.0 14943.9  30030.7    30090
read      222.4   368.2    68.9   104.4   112.9   174.0   220.7   253.4   278.3   308.0   345.0   405.5   625.3  4884.2 15305.0  30108.6    30100
read      231.1   428.9    68.9   105.4   115.0   180.8   227.9   260.9   285.9   315.4   353.7   414.3   623.0  6695.2 16115.0  30041.5    30110
read      207.4   275.1    68.9   103.2   111.8   167.5   208.2   237.7   261.5   289.6   324.2   379.1   535.3  4116.8 11739.9  30097.5    30120
read      201.9   192.4    68.9   104.1   113.7   171.6   211.8   238.8   260.8   286.6   317.4   366.0   493.8  1673.1  8599.2  30109.6    30130
read      195.3   201.0    68.9   101.3   110.2   165.6   204.2   230.6   250.8   274.4   305.2   353.1   484.0  1825.6  8670.8  30120.6    30140
^C
