ubuntu@client-measure-pmp6:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.226 -a 10.156.15.225 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1500 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 150 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175)
Average QPS expected = 49648
Timestamp start: 1621795001868
Timestamp end: 1621796502248

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      324.0   749.8    80.4   142.3   177.2   267.2   308.5   334.0   353.9   378.4   407.8   460.2   786.6  8279.1 32516.0   5020.5     5031
read      431.9   623.0    68.9   112.9   134.2   324.9   412.2   465.4   509.6   574.0   673.9  1188.2  2222.5  6857.1 29062.7  54906.8    54838
read      434.9   618.9    68.9   116.5   140.7   336.1   413.4   463.6   507.4   571.7   668.6   942.9  2583.8  6542.7 29052.6  74906.3    74868
read      549.7  1040.5    68.9   111.8   132.0   324.8   456.4   611.9   839.7  1000.1  1141.2  1335.9  3246.0 12263.6 35131.8  29954.2    30015
read      524.3   760.6    68.9   111.2   131.0   322.8   428.8   538.7   729.4  1075.3  1305.8  1542.8  2081.0  8264.3 31290.8  40573.8    40743
read      507.6   906.8    68.9   111.5   131.8   319.8   473.4   656.6   786.0   895.3  1002.1  1149.4  2278.5 10493.8 32236.1  23696.4    23648
read      446.7   673.7    68.9   133.7   169.6   375.0   446.8   491.3   529.9   588.2   684.5   842.3  1970.7  8303.8 31347.4  97704.1    97712
read      480.6   606.7    68.9   112.1   132.5   309.5   401.2   468.4   537.6   677.4  1264.1  1718.1  2228.2  5034.9 15745.8  53786.8    53672
read      490.4   593.9    68.9   111.1   131.7   305.8   399.3   473.8   553.2   771.6  1343.6  1759.9  2275.4  4603.0 16430.8  55506.6    55395
read      553.8  1077.9    68.9   107.4   127.5   318.3   457.3   644.6   851.2   985.2  1112.0  1301.8  3845.1 12216.7 32452.0  29400.0    29425
read      606.4  1862.8    68.9   110.1   133.6   319.4   476.2   585.0   642.9   702.8   781.7   933.1  7316.4 31173.6 37817.7  15139.6    15173
read      441.6   617.3    68.9   118.1   145.2   347.2   419.9   467.7   510.0   578.2   683.9   959.2  2521.2  6528.3 27179.7  82481.6    82475
read      406.6   616.7    68.9   118.5   145.4   333.6   403.5   447.3   483.8   537.5   619.4   750.5  2523.9  7592.4 29254.6  90557.3    90555
read      497.5   737.2    68.9   107.6   126.5   306.5   400.9   485.6   582.0   922.7  1307.2  1600.8  2100.9  7545.8 30849.3  47932.8    47944
read      495.1   801.4    68.9   106.9   125.8   308.8   441.5   620.9   822.7   944.7  1055.4  1194.3  2043.3  8590.0 32062.9  28276.4    28313
read      524.8   988.7    68.9   107.3   127.1   313.3   453.4   638.7   829.7   953.0  1070.1  1231.0  2900.8 12189.0 35618.7  28566.6    28504
read      549.4  1276.3    68.9   106.8   127.2   314.2   478.1   664.7   774.3   865.2   961.5  1110.7  4086.1 17093.6 36583.5  22886.0    22886
read      507.9   689.5    68.9   107.7   127.0   316.1   431.4   566.5   816.5  1037.2  1200.5  1393.4  2010.6  7493.4 29499.1  35760.9    35717
read      586.7  1754.6    74.4   110.1   133.3   318.6   473.2   579.2   635.8   692.0   767.1   904.5  6820.9 31030.6 37242.1  14881.5    14828
read      453.8   711.1    68.9   118.9   146.8   350.4   423.4   471.0   515.4   584.4   688.7   973.3  2633.1  9284.1 30770.4  81599.3    81704
read      450.2   559.9    63.8   109.3   129.0   303.1   391.5   448.7   499.4   578.9   849.9  1710.2  2296.1  4402.6 11947.3  55835.5    55771
read      525.4   933.5    68.9   135.7   175.5   400.4   476.6   528.5   577.8   660.8   796.3  1097.6  3013.8 12454.3 32006.6  85267.7    85226
read      448.5   746.7    68.9   123.7   149.7   354.1   438.0   488.3   528.7   584.3   669.2   849.4  2717.3  9074.8 31497.6  75020.5    75020
read      568.7  1618.2    68.9   121.3   146.4   339.9   482.3   577.7   632.5   688.9   763.9   905.3  5880.4 30887.5 37742.1  12520.3    12441
read      498.2   729.7    68.9   109.9   130.5   305.6   397.8   468.1   542.2   730.0  1346.5  1793.3  2341.2  7125.2 30374.4  56155.0    56208
read      536.8  1290.4    68.9   108.3   130.0   323.6   492.7   634.6   707.8   782.6   860.1   995.9  4449.4 18421.4 36529.1  17518.7    17446
read      455.8   691.6    68.9   122.2   152.5   358.6   429.7   474.4   516.6   586.1   697.6   941.4  2583.6  7935.7 31073.1  86845.1    86943
read      510.0   738.8    68.9   112.0   132.4   316.0   411.6   484.0   560.5   759.3  1380.3  1783.3  2368.1  7025.7 30168.6  49066.3    49138
read      508.0   739.9    68.9   111.3   131.6   313.3   408.5   483.1   560.1   772.5  1386.2  1778.9  2345.7  7789.0 30837.7  49901.6    49839
read      510.5   758.1    68.9   109.2   128.4   310.8   409.0   499.8   609.6   985.5  1346.3  1637.0  2150.5  7834.9 31253.1  47876.6    47752
read      519.7   944.3    68.9   108.0   127.9   316.9   461.5   653.1   831.9   946.7  1059.6  1210.9  2479.3 11752.4 32223.6  27240.1    27181
read      617.5  2203.9    74.4   133.6   169.8   295.2   371.1   416.5   449.8   491.0   550.4  1033.9  8069.4 32187.6 41590.2   6244.5     6170
read      456.2  1456.4    74.4   124.7   162.1   293.9   371.3   416.7   446.5   480.1   526.7   615.0  4625.3 30707.5 32519.0   7184.9     7187
read      439.1   538.3    68.9   133.7   168.9   374.9   445.0   487.3   524.2   583.3   687.2   861.1  1907.4  6031.7 25730.7  99230.3    99387
read      405.0   534.1    68.9   124.4   153.3   346.6   421.9   467.1   504.3   556.0   632.5   762.1  1676.3  5777.7 23892.0  92040.2    91970
read      397.3   525.4    68.9   116.5   140.0   328.7   406.4   454.1   492.0   543.0   618.4   745.7  2284.8  5726.4 19634.9  79701.1    79658
read      399.2   530.9    68.9   112.3   132.9   322.0   407.2   456.0   494.6   545.9   619.3   782.8  2085.0  5472.2 18739.1  59339.3    59230
read      404.5   580.8    68.9   116.0   139.2   328.4   404.6   452.9   491.1   543.4   622.4   764.7  2426.9  5979.5 28002.4  78047.2    78081
read      404.4   532.7    68.9   113.2   134.6   325.9   410.0   459.1   498.4   550.1   627.4   791.1  2199.5  5709.9 17918.9  64259.4    64242
read      508.9   777.0    68.9   109.6   128.6   320.0   427.6   537.1   719.5  1031.1  1226.9  1431.7  1900.4  8228.5 31866.5  37739.1    37702
read      508.2   696.1    68.9   109.9   129.3   319.2   423.7   527.7   687.8  1045.3  1278.5  1494.6  1954.8  7323.2 30620.3  40757.0    40686
read      510.3   807.2    68.9   109.5   129.3   320.8   456.0   616.8   842.3   992.0  1119.4  1275.2  1873.4  8786.6 32112.4  30426.4    30376
read      499.1   662.1    68.9   108.8   127.3   316.4   424.1   543.0   770.4  1034.8  1218.9  1416.9  1839.7  7204.3 30222.2  38487.6    38416
read      401.9   510.5    68.9   112.8   134.1   320.4   402.7   451.5   490.1   543.1   619.4   802.7  2250.1  5120.9 14853.9  65837.9    65892
read      491.7   620.4    68.9   109.4   128.3   317.2   418.0   519.5   669.1  1016.6  1236.3  1448.9  1840.0  6674.9 18285.0  39463.2    39560
read      488.4  1308.0    74.4   117.7   144.1   318.4   432.0   497.5   538.7   582.8   636.9   742.7  4892.0 27576.2 36402.4  10004.4    10016
read      458.5   589.5    68.9   111.7   131.7   310.2   401.1   464.1   524.2   621.5  1018.1  1605.2  2168.7  5062.8 19911.6  55154.3    55224
read      503.5   905.3    68.9   110.2   132.5   328.5   495.4   664.2   762.8   841.3   924.7  1046.7  2847.5  8720.9 35325.6  19935.5    19982
read      496.1   675.0    68.9   109.5   128.9   308.6   402.6   483.3   574.3   925.1  1355.4  1631.7  2061.0  7010.4 29172.8  48112.0    48114
read      523.8   810.3    68.9   110.0   129.6   325.3   439.2   563.9   810.1  1055.3  1234.2  1435.7  1973.1  8751.1 31976.8  36269.7    36283
read      460.7   580.3    68.9   111.7   132.0   320.0   460.3   615.6   755.8   859.4   961.8  1083.7  1357.1  7235.2 26921.3  23398.6    23315
read      428.6   769.4    68.9   120.4   147.0   331.9   442.7   510.6   552.9   598.0   653.1   754.7  2217.8  8338.5 32095.3  11136.4    11150
read      445.2   599.6    68.9   130.8   166.3   369.2   438.1   482.2   522.5   588.4   698.3   879.4  1982.6  6526.3 27348.1  98778.8    98724
read      464.1   615.5    68.9   111.4   132.6   316.1   406.5   468.4   526.2   617.5   925.4  1629.9  2295.0  5616.2 19866.6  56828.9    56880
read      513.8  1370.0    68.9   113.2   136.2   324.9   464.3   558.5   610.5   663.1   733.1   851.1  4990.2 29793.2 36745.7  13473.1    13467
read      422.4   543.7    63.8   130.2   163.1   358.5   429.9   472.3   510.5   568.8   657.5   806.2  1953.4  6150.0 24577.4  99245.5    99368
read      501.0   761.3    68.9   107.9   126.8   308.9   403.1   493.3   602.2   988.0  1304.1  1553.5  2007.0  8262.1 31450.5  46055.8    46206
read      463.1   698.3    68.9   116.1   141.0   340.5   419.5   472.9   524.7   595.4   710.5  1505.0  2545.2  7733.1 30851.8  71616.2    71651
read      476.1   707.5    68.9   108.1   128.5   315.8   470.1   642.4   762.9   850.4   940.6  1070.3  1904.6  7382.5 31453.6  22776.5    22741
read      461.7   589.6    68.9   110.0   130.2   308.3   398.1   460.8   519.9   617.8  1024.5  1660.6  2265.5  5347.0 14910.8  56666.5    56654
read      395.2   530.9    68.9   124.6   154.3   341.7   411.4   453.9   489.5   540.3   617.8   743.0  1305.2  6369.2 28238.7  99504.9    99570
read      517.5  1039.8    68.9   107.7   127.5   314.3   469.4   644.6   768.2   859.7   952.5  1085.8  3603.9 12698.6 36240.0  23072.5    23047
read      424.1   607.2    68.9   112.4   134.4   327.1   404.9   454.3   496.2   557.0   646.6   993.8  2333.4  6448.9 28012.6  70022.2    70008
read      500.9   726.0    63.8   107.5   126.1   312.5   411.2   504.9   627.8   990.4  1280.3  1520.4  1998.3  8207.7 30723.7  42915.2    42943
read      512.3   782.8    68.9   108.2   127.3   311.7   410.0   503.2   622.3  1009.3  1348.6  1612.7  2140.0  8164.7 31755.1  46793.9    46704
read      740.0  1033.4    68.9   156.4   230.0   484.0   700.0   901.0   994.6  1156.1  1514.7  1989.7  2898.3 13321.3 32345.6  75868.4    75970
read      511.7   995.5    68.9   108.0   128.9   319.7   484.4   661.2   766.5   847.1   935.0  1071.4  3079.5 10699.1 32339.0  21921.1    21917
read      445.9   676.5    68.9   118.6   145.8   345.1   419.0   467.3   510.2   579.5   683.5   992.2  2609.3  7248.3 31041.7  81999.0    82027
read      393.5   534.2    68.9   114.7   137.7   323.7   397.9   443.2   479.8   531.5   608.6   737.4  2342.8  5884.4 22824.8  81496.2    81583
read      509.6  1332.9    68.9   110.7   133.6   323.1   465.5   561.6   615.8   672.6   746.4   855.0  4781.2 25250.1 36926.1  14267.6    14259
read      524.6  1852.2    74.4   118.3   149.4   292.3   377.7   426.5   458.8   496.0   544.3   660.1  5805.6 31681.8 37339.1   7825.3     7821
read      532.3  1349.7    68.9   108.9   130.5   319.5   478.6   617.9   694.0   768.2   841.0   958.5  4927.8 28011.6 35765.0  17680.4    17727
read      414.1   609.1    68.9   111.4   132.9   318.8   400.0   449.5   490.4   546.3   628.4   877.3  2345.5  6562.5 28815.2  65322.8    65559
read      496.7   643.6    68.9   106.3   125.2   313.4   416.1   519.5   680.8  1030.3  1257.7  1474.7  1933.7  6295.6 28816.9  41073.4    41133
read      504.4   830.5    68.9   107.4   126.8   316.5   456.2   631.7   820.0   946.1  1061.2  1211.6  2046.7  8134.2 32006.6  28676.9    28693
read      502.7   707.1    68.9   109.1   129.2   307.1   398.8   476.5   561.4   843.9  1375.9  1711.8  2235.9  8182.1 28375.5  53155.1    53141
read      475.1   553.2    68.9   108.5   128.4   301.2   392.3   462.1   534.4   711.0  1329.5  1726.1  2177.8  3603.4 11187.9  54482.4    54512
read      532.3  1468.1    68.9   110.1   132.9   324.5   471.4   574.1   631.0   691.3   767.6   880.2  5018.2 30256.3 36789.9  14790.6    14835
read      440.4   675.8    68.9   127.9   161.5   361.5   429.2   471.3   509.3   571.0   670.3   827.1  2398.1  8001.0 31005.6  98383.1    98446
read      502.5   793.5    68.9   107.7   126.8   316.9   422.0   528.5   700.9   998.5  1200.6  1408.7  1872.7  8688.4 31692.9  38224.5    38117
read      442.1   657.5    68.9   115.5   140.1   339.1   415.2   463.9   506.1   571.3   675.0  1073.0  2578.7  6881.5 30270.8  77862.7    77994
read      482.3   640.6    68.9   107.8   126.7   316.3   439.2   566.9   780.5   944.4  1076.4  1238.0  1702.3  7046.6 30480.9  30203.2    30209
read      421.4   556.5    68.9   113.5   135.9   326.5   407.8   458.5   501.2   561.0   647.9   951.9  2399.4  5523.7 21011.3  68371.2    68315
