ubuntu@client-measure-pmp6:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.226 -a 10.156.15.225 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1500 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 150 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175)
Average QPS expected = 49648
Timestamp start: 1621809245219
Timestamp end: 1621810745627

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      432.4  1508.1    80.4   144.2   175.9   275.5   320.7   349.4   371.8   400.0   437.8   529.6  3881.3 30198.4 37760.7   4999.6     5031
read      439.2   623.1    68.9   108.9   128.9   310.8   397.1   449.1   493.0   554.8   668.7  1634.2  2330.0  5797.7 27939.4  54752.7    54838
read      403.6   557.0    68.9   114.9   137.3   328.2   406.5   453.4   490.3   540.8   619.7   756.6  2448.3  5920.9 27978.9  75024.0    74868
read      540.4   942.9    68.9   109.5   131.1   325.6   447.3   589.1   846.4  1016.6  1159.6  1349.2  3049.2  9935.7 35527.0  30004.5    30015
read      515.1   956.8    63.8   103.6   121.3   303.4   395.2   466.2   540.8   946.1  1382.6  1644.0  2330.3 11730.8 32117.7  40850.4    40743
read      463.8   583.6    68.9   110.4   131.0   314.9   458.1   647.8   791.6   888.8   983.0  1105.5  1355.7  6381.8 30547.6  23665.8    23648
read      449.9   620.6    68.9   131.9   168.3   374.6   442.0   483.0   520.3   584.2   692.9   870.5  2065.1  7366.9 30288.6  97750.1    97712
read      436.7   650.4    63.8   107.1   126.4   309.7   395.0   446.3   490.3   551.2   666.8  1596.6  2246.1  6662.7 23552.7  53792.2    53672
read      497.0   825.6    68.9   103.2   122.0   294.9   379.9   437.1   491.3   577.7  1495.4  1936.4  2545.6  8585.6 31249.9  55388.7    55395
read      499.0   827.6    68.9   103.2   121.2   306.4   416.0   534.1   808.4   981.8  1121.1  1274.0  2368.7  9220.1 32404.3  29493.5    29425
read      616.8  1924.2    68.9   109.7   133.0   324.1   474.2   583.6   645.1   706.9   782.4   923.6  7901.9 31319.5 40384.8  15250.5    15173
read      456.0   708.5    68.9   118.4   146.0   345.7   418.0   465.9   510.0   583.8   691.3  1271.3  2628.8  8070.5 30131.7  82550.3    82475
read      396.2   555.7    68.9   117.4   143.2   329.6   401.0   445.0   480.6   532.1   610.9   736.3  2239.9  6951.7 23691.7  90484.6    90555
read      472.7   735.6    68.9   101.6   118.1   293.2   377.4   434.8   490.6   586.4  1394.9  1715.5  2173.8  7686.6 30652.5  47960.1    47944
read      534.8  1130.7    68.9   104.6   124.8   309.7   430.2   572.9   816.6   956.2  1080.3  1235.3  3403.1 14090.0 35967.8  28319.2    28313
read      514.9   940.0    68.9   105.8   125.8   314.1   436.3   587.9   823.0   962.8  1088.2  1237.3  2594.3 11302.9 34485.2  28492.7    28504
read      531.5  1198.3    68.9   106.9   128.1   313.7   463.8   652.3   768.0   858.8   951.3  1096.0  3722.3 16214.2 36145.4  22932.2    22886
read      507.1   891.9    68.9   102.1   120.3   306.6   398.9   481.8   587.4  1067.6  1264.3  1458.6  2139.1 11082.0 32139.4  35625.6    35717
read      573.6  1750.3    68.9   108.8   132.3   320.7   468.1   573.0   630.7   690.0   762.9   887.0  6761.1 31052.6 38566.6  14884.5    14828
read      412.9   591.7    68.9   116.3   141.2   335.8   410.9   456.3   494.1   548.0   634.7   786.6  2395.8  7117.6 30240.0  81799.2    81704
read      467.1   871.1    68.9   115.5   138.8   342.2   431.2   483.9   527.3   588.4   690.1  1152.4  2708.0  9695.1 31989.9  55715.6    55771
read      431.7   689.2    68.9   124.7   152.6   355.7   433.6   479.2   516.7   570.4   652.8   800.8  2443.0  7851.2 31300.4  85243.0    85226
read      446.4   828.7    68.9   118.0   142.8   344.5   425.2   472.3   510.5   565.8   651.4   832.9  2820.6  9275.7 31912.2  75006.8    75020
read      518.8  1456.8    68.9   110.5   134.5   317.8   441.6   525.4   576.2   630.0   697.6   826.3  5333.2 30172.7 37222.1  12387.1    12441
read      486.9   784.6    63.8   103.4   122.2   293.1   378.5   434.7   489.4   573.6  1442.6  1941.8  2471.0  8541.4 30075.1  56196.8    56208
read      579.6  1603.2    68.9   107.4   129.9   322.9   482.4   626.0   702.6   775.3   857.4  1001.7  6219.0 30746.4 39048.1  17504.8    17446
read      505.4   819.4    68.9   134.4   170.4   397.8   472.2   518.4   561.3   637.1   779.4  1090.5  2570.1  9899.4 32116.3  86809.8    86943
read      480.7   792.9    68.9   104.6   123.8   304.6   392.6   452.4   504.6   591.1  1294.0  1740.0  2284.1  9105.6 31396.9  49140.0    49138
read      476.9   698.0    63.8   101.5   118.2   290.4   377.2   434.5   490.3   580.6  1464.2  1796.8  2282.0  6687.0 25027.0  49828.0    49839
read      498.7   968.0    68.9   100.9   117.7   294.3   382.0   441.9   499.9   609.3  1463.8  1759.6  2226.3 11615.4 33731.1  47693.8    47752
read      562.5  1223.6    68.9   108.3   128.9   325.6   445.2   567.2   847.6  1038.1  1187.4  1375.0  3168.2 16805.4 37252.2  27059.9    27181
read      565.6  2179.8    74.4   121.7   156.0   271.0   338.5   376.8   403.0   433.9   478.3   601.8  8035.0 32280.4 38752.6   6193.0     6170
