ubuntu@client-measure-pmp6:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.226 -a 10.156.15.225 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1500 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 150 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175)
Average QPS expected = 49648
Timestamp start: 1621811193672
Timestamp end: 1621812694048

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      524.3  1666.4    80.4   145.5   198.5   329.8   396.8   437.0   467.0   499.9   545.6   671.1  5166.3 31491.5 37370.1   5029.2     5031
read      456.7   685.1    68.9   108.2   126.5   311.5   400.5   458.9   508.2   584.3   754.0  1691.3  2306.9  7316.4 30120.4  54914.7    54838
read      445.6   666.4    68.9   117.3   141.8   346.9   428.2   480.6   525.2   585.4   676.8   894.8  2712.9  6950.5 30951.4  74697.7    74868
read      553.2  1009.3    68.9   108.1   128.2   336.2   476.8   639.7   880.1  1040.9  1173.8  1352.8  2628.6 11374.0 37340.3  29938.0    30015
read      505.8   700.0    63.8   111.6   130.8   313.7   429.6   547.0   719.2  1040.8  1259.8  1485.6  1939.2  7477.5 30570.1  40688.6    40743
read      497.1   551.6    74.4   113.2   133.6   344.1   528.8   733.9   854.7   947.7  1039.2  1156.2  1412.6  6041.8 19493.4  23641.0    23648
read      470.0   579.2    68.9   135.5   175.6   390.8   467.8   512.0   550.4   618.9   733.7   950.8  2009.8  7198.1 26164.9  97491.8    97712
read      487.2   760.4    68.9   106.2   125.6   308.7   400.6   465.7   525.2   625.2  1230.5  1784.8  2351.9  7922.8 30918.9  53652.0    53672
read      520.3   948.1    68.9   103.7   122.2   298.5   386.3   451.8   514.2   627.6  1509.4  1950.5  2691.0  9670.4 32304.9  55281.9    55395
read      563.1  1220.2    68.9   105.6   124.9   328.8   473.4   661.5   895.7  1037.1  1157.8  1329.0  2974.7 15411.6 39409.5  29349.7    29425
read      655.7  1935.3    68.9   108.9   132.3   371.3   547.7   646.9   701.1   760.5   838.9   984.7  7673.6 31552.3 38978.7  15221.5    15173
