ubuntu@client-measure-pmp6:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.226 -a 10.156.15.225 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1500 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 150 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175)
Average QPS expected = 49648
Timestamp start: 1621820960252
Timestamp end: 1621822460701

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      529.7  1743.6    80.4   146.6   195.8   338.0   401.0   437.8   464.5   497.0   542.9   659.8  5007.5 31225.1 40351.6   5020.8     5031
read      498.6   622.7    68.9   108.8   127.1   301.0   405.5   494.0   590.4   858.9  1382.4  1753.8  2252.5  4686.8 17768.2  54882.6    54838
read      475.1   711.1    68.9   117.1   141.9   341.1   425.3   487.7   544.0   624.2   754.8  1493.2  2704.0  7512.8 30736.0  74895.5    74868
read      550.5   957.9    68.9   108.7   128.2   340.5   493.9   699.0   889.8  1024.3  1151.9  1317.5  2505.1 11970.7 32332.6  29932.1    30015
read      522.1   702.0    68.9   111.4   130.3   322.2   441.7   550.9   707.0  1106.0  1352.8  1582.2  2005.4  7774.5 30314.8  40766.5    40743
read      487.2   570.7    68.9   110.1   129.0   343.2   520.1   718.4   828.9   913.2   998.6  1110.8  1371.8  6389.7 28643.3  23638.9    23648
read      455.6   675.5    68.9   130.1   163.0   363.7   438.0   488.2   534.2   605.7   711.2   911.4  2135.9  8189.2 31071.2  97771.8    97712
read      499.6   712.6    68.9   108.6   126.8   300.7   403.9   490.7   584.2   865.9  1355.4  1697.2  2217.0  7251.7 30432.7  53670.5    53672
read      539.3   878.6    68.9   108.8   128.6   310.5   418.3   512.8   624.0   964.4  1433.1  1801.6  2640.1  8527.1 31946.3  55350.9    55395
read      541.9  1034.9    68.9   105.2   123.4   328.0   485.9   699.8   865.9   982.0  1095.4  1249.9  2822.2 13612.7 32417.8  29371.9    29425
read      670.1  2000.3    68.9   110.6   136.1   371.8   546.4   646.8   702.6   761.8   834.4   986.5  7783.2 31669.9 37501.9  15109.7    15173
read      448.5   729.2    68.9   115.6   140.6   333.1   410.3   464.8   513.2   585.1   688.1  1107.5  2718.4  7810.5 31374.7  82394.0    82475
read      411.1   681.5    68.9   116.3   140.8   326.0   399.5   447.5   488.3   544.2   627.2   769.9  2676.6  7696.0 30887.0  90239.9    90555
read      519.8   815.5    68.9   106.8   124.6   306.8   418.8   524.4   674.0  1044.9  1334.0  1589.0  2130.6  9519.4 31229.8  47924.3    47944
read      550.7  1031.8    68.9   106.6   125.2   335.5   499.3   717.6   879.7   991.4  1101.3  1254.9  3032.7 12750.8 32276.9  28396.7    28313
read      552.8  1083.2    68.9   106.5   125.2   333.9   492.8   708.8   866.2   980.6  1092.9  1252.6  3027.6 12504.7 35283.2  28491.5    28504
read      593.1  1362.0    68.9   107.3   127.8   348.7   538.5   729.0   827.7   911.4  1004.4  1162.1  5155.5 25056.6 36791.4  22777.5    22886
