ubuntu@client-measure-pmp6:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.226 -a 10.156.15.225 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1500 --qps_interval 2 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 750 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559, 55885, 9039, 66378, 41225, 52371, 39873, 41176, 85357, 85391, 91890, 57558, 9972, 74636, 29773, 63494, 7201, 49507, 65454, 88537, 36982, 88964, 96479, 47883, 50650, 89242, 7374, 8507, 50676, 57069, 43520, 56720, 68155, 60444, 63997, 17315, 78596, 81548, 97254, 46135, 13379, 46993, 98274, 97056, 43434, 36406, 99121, 80708, 40517, 34168, 11754, 93304, 64697, 92626, 75618, 85805, 18930, 50153, 10377, 33112, 28777, 45709, 74458, 73596, 28031, 45754, 80138, 64350, 51870, 81106, 82064, 30534, 25449, 67525, 27070, 41133, 28009, 64235, 16387, 62388, 40199, 16884, 55763, 41925, 42341, 93577, 7657, 14232, 30107, 71078, 85372, 54930, 5750, 80137, 41449, 17301, 19930, 41776, 8596, 30870, 69978, 23908, 9848, 71598, 77156, 14083, 87786, 57205, 53142, 77998, 98830, 32447, 74382, 32271, 55273, 68152, 25419, 43187, 60608, 62150, 30864, 69566, 38183, 51253, 53027, 37133, 73413, 78811, 88317, 46504, 46147, 35073, 18693, 46834, 76427, 96007, 83666, 64655, 54099, 5485, 94089, 57214, 23788, 75649, 39466, 47463, 19155, 18449, 35235, 93118, 76391, 70733, 74230, 37188, 48862, 59325, 66219, 25760, 75255, 67915, 23004, 21973, 82811, 38870, 85697, 94176, 89142, 39251, 36339, 30304, 58303, 78732, 81734, 85654, 40030, 11145, 24220, 36178, 69625, 80189, 64261, 78356, 30570, 63922, 82549, 7574, 42298, 39152, 88634, 60765, 30534, 35563, 96837, 74496, 42819, 50120, 16904, 11439, 24076, 84757, 76496, 34744, 5910, 6391, 25594, 30327, 62849, 91392, 44328, 47665, 79152, 11613, 96212, 27129, 86430, 58712, 23931, 8445, 55537, 54706, 51997, 18803, 88693, 91224, 76765, 80364, 54372, 32473, 25920, 11574, 99135, 24026, 92271, 88470, 58597, 83103, 19062, 72681, 30900, 94867, 22477, 97890, 11845, 95363, 90122, 81157, 78569, 97434, 29257, 42139, 21444, 18314, 49203, 87787, 77490, 16464, 23314, 88655, 28245, 40610, 77039, 35056, 26782, 53121, 15035, 33766, 99826, 49516, 25895, 64849, 79516, 55109, 69984, 34454, 64785, 43963, 90279, 62151, 46958, 82432, 45518, 97055, 28977, 72436, 5078, 81357, 28531, 87140, 36881, 12972, 41961, 76602, 93251, 35269, 86366, 29241, 57116, 81511, 45059, 75774, 61736, 8949, 66290, 82937, 74263, 25664, 64314, 23804, 66356, 49506, 54758, 72283, 95641, 24157, 15088, 73735, 75655, 44689, 37890, 50565, 81326, 75641, 97055, 26336, 63820, 85404, 18025, 42168, 37351, 31615, 46356, 24714, 67626, 15739, 87755, 14357, 51514, 72102, 84799, 21168, 43828, 13381, 70057, 19482, 13593, 30935, 27564, 89146, 12015, 12458, 43213, 34454, 79142, 43458, 65461, 17883, 21816, 92112, 86516, 85434, 49269, 64819, 45466, 74721, 22910, 47947, 69579, 61494, 31948, 43538, 70090, 9010, 53510, 84446, 70319, 55737, 90913, 75270, 46729, 25590, 61310, 82023, 7307, 29858, 61208, 75084, 41768, 68783, 78580, 99500, 89173, 89685, 45573, 78107, 35025, 73302, 21138, 9181, 68634, 46631, 99853, 36240, 65166, 85440, 58337, 85023, 75995, 55750, 13167, 95292, 49427, 62972, 73620, 46383, 13305, 27078, 90422, 86701, 67621, 18340, 6182, 28474, 75726, 10498, 70275, 71551, 52123, 55103, 73891, 46019, 63980, 10187, 79908, 94400, 60322, 98940, 72466, 36355, 96332, 36858, 95974, 11015, 22254, 55030, 79501, 91439, 70261, 34410, 96661, 63205, 7578, 15095, 7594, 6752, 97648, 28525, 78342, 87761, 9494, 12479, 28819, 91715, 62754, 30535, 43109, 82156, 63362, 79067, 99705, 16698, 50274, 35396, 37248, 6526, 13756, 9457, 66846, 10182, 80553, 5614, 74666, 55842, 38357, 14076, 73144, 36311, 20951, 93037, 49364, 49889, 33119, 52652, 13044, 21800, 12702, 68334, 31654, 45402, 57465, 46859, 34011, 31014, 16076, 47531, 19334, 84699, 46454, 63824, 46099, 77617, 56446, 31654, 43635, 89260, 39843, 13930, 89183, 66809, 64152, 51499, 19378, 68779, 8299, 79092, 58176, 39544)
Average QPS expected = 52042
Timestamp start: 1621802194320
Timestamp end: 1621803694862

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      341.9   783.6    68.9   144.5   176.1   275.4   310.8   333.3   350.5   374.4   409.9   470.1  1676.4  8801.1 35152.0   4954.0     5031
read      450.1   720.2    68.9   113.3   135.2   327.2   416.1   470.6   519.0   588.5   711.8  1274.5  2557.7  7365.2 31217.2  54249.5    54838
read      424.1   713.5    68.9   115.3   138.5   335.6   416.6   464.1   503.3   560.0   646.4   817.9  2397.1  8669.5 30660.8  74613.0    74868
read      510.1   700.9    68.9   113.6   133.6   333.6   460.1   628.2   840.9  1009.4  1151.8  1323.6  1710.7  7709.6 30910.7  30137.5    30015
read      500.8   731.5    68.9   111.0   129.7   313.7   416.1   520.3   693.5  1030.1  1254.2  1482.8  1952.9  7811.1 31402.0  40618.5    40743
read      495.9   683.8    68.9   109.9   128.7   321.2   488.3   683.8   793.2   884.9   978.6  1114.4  2575.8  7497.4 28193.4  23614.5    23648
read      615.2   614.8    68.9   211.9   288.3   453.2   536.3   618.3   728.5   865.6  1124.0  1698.3  2479.5  7593.6 16507.7  97263.5    97712
read      437.1   556.1    68.9   112.2   132.2   315.8   407.1   463.4   512.3   589.4   732.4  1431.4  2128.5  5424.2 19099.5  53795.0    53672
read      478.9   589.7    68.9   108.9   127.7   295.3   390.2   465.7   550.4   799.0  1304.8  1703.3  2170.1  5583.2 19395.6  55362.0    55395
read      511.2   685.5    74.4   112.6   132.5   326.0   460.2   643.3   858.0   999.7  1131.5  1291.7  2021.8  5922.8 30750.8  29443.5    29425
read      582.9  1617.9    68.9   113.2   135.6   336.5   502.9   622.6   684.8   748.3   827.3  1001.6  5300.5 30402.7 51533.9  15306.0    15173
read      510.4   814.9    68.9   125.8   157.4   368.3   443.7   502.2   561.3   663.3   810.0  1559.0  2705.4 10575.6 31553.8  82363.5    82475
read      409.6   622.2    68.9   121.1   148.0   338.9   414.5   461.8   500.5   552.7   632.8   761.0  1937.6  7461.0 31099.0  90494.0    90555
read      499.5   714.1    68.9   111.7   131.6   318.0   420.5   504.0   593.5   843.6  1255.8  1603.6  2218.8  6754.5 31169.4  47798.5    47944
read      511.7   758.5    68.9   109.1   128.2   317.9   456.8   658.0   839.1   969.5  1097.5  1271.9  2560.6  7506.7 31555.9  28136.0    28313
read      681.1  1600.9    74.4   111.4   133.6   342.2   506.8   751.5   924.9  1070.8  1232.8  1619.2  6183.0 30237.9 36490.3  28301.5    28504
read      573.4  1250.2    68.9   110.1   131.3   329.2   506.0   717.6   827.2   920.8  1028.3  1216.9  3937.5 15711.1 39206.7  22907.0    22886
read      582.6  1370.6    68.9   109.5   129.8   325.8   440.3   570.6   825.2  1088.3  1284.2  1541.0  3834.3 11947.3 37819.1  35834.0    35717
read      711.0  2450.8    74.4   111.1   133.3   336.7   498.1   602.2   661.7   724.3   803.2   998.6  9096.3 34796.8 45142.8  14949.5    14828
read      817.3  1060.4    74.4   304.1   348.0   461.3   709.2   965.7  1470.6  1584.3  1720.8  1966.3  2954.3 12600.4 35467.0  81509.0    81704
read      481.7   816.3    68.9   113.6   135.0   315.9   408.9   474.8   535.7   632.4   930.4  1639.8  2489.9  7632.1 32162.4  55512.5    55771
read      451.1   476.1    68.9   125.1   153.0   349.0   437.1   495.7   544.4   615.6   729.3  1180.3  2384.2  4086.0  8097.2  85221.5    85226
read      435.9   712.7    68.9   120.6   144.5   334.4   419.0   470.2   514.6   577.5   669.7   878.8  2582.6  6907.2 31988.4  75015.0    75020
read      407.1   657.4    68.9   120.7   140.5   324.8   414.4   482.6   541.1   611.2   688.1   791.0  1187.5  7808.3 31010.4  12567.0    12441
read      507.4   665.0    68.9   114.0   134.0   306.4   401.8   478.7   568.7   839.4  1394.9  1809.9  2444.9  6568.8 11602.3  56041.5    56208
read      446.8   555.6    74.4   114.1   134.1   322.8   486.3   638.4   711.7   780.9   852.7   956.6  1365.9  5366.4 24831.0  17582.5    17446
read      544.7   722.2    74.4   137.4   179.1   390.5   474.4   541.6   622.9   729.6   947.9  1601.5  2729.8  7985.0 31005.9  86719.0    86943
read      464.3   612.6    68.9   112.4   131.5   306.8   400.6   467.9   537.6   666.9  1140.6  1549.7  2055.6  7595.3 19806.5  49080.5    49138
read      470.5   487.4    68.9   112.0   130.2   298.0   396.4   480.5   583.6   884.0  1273.7  1589.0  1987.0  2939.5 10911.0  49943.5    49839
read      467.3   514.3    74.4   111.8   129.7   298.7   392.6   470.0   564.1   889.5  1275.6  1560.2  1928.3  3029.5  9125.6  47616.0    47752
read      466.9   403.2    68.9   112.7   131.8   317.7   458.5   655.2   819.4   928.5  1038.5  1167.4  1457.8  4095.8  6234.8  27092.0    27181
read      413.8  1266.2    80.4   127.5   161.2   296.4   366.6   406.0   433.5   464.8   504.4   580.7  2093.8 25041.0 36188.4   6220.0     6170
read      380.7  1008.3    80.4   124.3   153.7   287.5   363.2   406.1   433.5   466.3   506.4   573.8  2787.0  8419.0 37315.1   7210.5     7187
read      481.3   626.6    68.9   134.6   172.8   390.6   460.8   504.2   547.4   632.0   768.7   991.0  2176.9  7959.1 28015.0  98828.0    99387
read      411.1   609.2    74.4   121.4   148.7   340.8   408.1   451.6   488.4   544.2   633.2   761.4  2518.1  6922.8 30241.0  91863.5    91970
read      414.3   654.2    68.9   115.0   138.4   323.5   399.7   447.6   488.2   544.5   629.9   793.6  2609.3  7037.2 31005.7  79667.5    79658
read      407.4   504.2    68.9   112.6   133.0   318.7   403.4   454.7   496.3   553.2   636.4   917.5  2158.5  6564.7 15437.0  59198.0    59230
read      409.9   626.4    68.9   113.8   136.2   321.4   396.4   444.1   485.6   544.6   628.7   785.9  2447.4  6406.9 30643.8  78539.0    78081
read      397.2   424.7    68.9   112.2   132.4   317.9   399.9   450.6   491.2   545.5   627.8   831.8  2153.1  4304.4  7623.0  64281.0    64242
read      482.9   870.7    68.9   108.6   127.3   312.5   404.2   484.7   572.6   798.3  1144.0  1364.6  2006.1 12763.2 32000.7  37819.0    37702
read      593.4  1084.4    68.9   108.2   128.7   323.8   443.7   581.6   828.4  1145.6  1383.3  1697.5  3796.7 11738.0 36270.6  40746.5    40686
read      581.4  1292.2    68.9   107.2   127.3   320.7   454.4   645.8   877.5  1025.6  1166.0  1377.8  3605.1 14471.1 38491.4  30427.0    30376
read      538.9   894.5    68.9   106.9   126.8   314.6   425.9   546.4   788.1  1059.0  1258.0  1474.3  3006.8 10583.6 31893.6  38559.0    38416
