ubuntu@client-measure-pmp6:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.226 -a 10.156.15.225 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1500 --qps_interval 2 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 750 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559, 55885, 9039, 66378, 41225, 52371, 39873, 41176, 85357, 85391, 91890, 57558, 9972, 74636, 29773, 63494, 7201, 49507, 65454, 88537, 36982, 88964, 96479, 47883, 50650, 89242, 7374, 8507, 50676, 57069, 43520, 56720, 68155, 60444, 63997, 17315, 78596, 81548, 97254, 46135, 13379, 46993, 98274, 97056, 43434, 36406, 99121, 80708, 40517, 34168, 11754, 93304, 64697, 92626, 75618, 85805, 18930, 50153, 10377, 33112, 28777, 45709, 74458, 73596, 28031, 45754, 80138, 64350, 51870, 81106, 82064, 30534, 25449, 67525, 27070, 41133, 28009, 64235, 16387, 62388, 40199, 16884, 55763, 41925, 42341, 93577, 7657, 14232, 30107, 71078, 85372, 54930, 5750, 80137, 41449, 17301, 19930, 41776, 8596, 30870, 69978, 23908, 9848, 71598, 77156, 14083, 87786, 57205, 53142, 77998, 98830, 32447, 74382, 32271, 55273, 68152, 25419, 43187, 60608, 62150, 30864, 69566, 38183, 51253, 53027, 37133, 73413, 78811, 88317, 46504, 46147, 35073, 18693, 46834, 76427, 96007, 83666, 64655, 54099, 5485, 94089, 57214, 23788, 75649, 39466, 47463, 19155, 18449, 35235, 93118, 76391, 70733, 74230, 37188, 48862, 59325, 66219, 25760, 75255, 67915, 23004, 21973, 82811, 38870, 85697, 94176, 89142, 39251, 36339, 30304, 58303, 78732, 81734, 85654, 40030, 11145, 24220, 36178, 69625, 80189, 64261, 78356, 30570, 63922, 82549, 7574, 42298, 39152, 88634, 60765, 30534, 35563, 96837, 74496, 42819, 50120, 16904, 11439, 24076, 84757, 76496, 34744, 5910, 6391, 25594, 30327, 62849, 91392, 44328, 47665, 79152, 11613, 96212, 27129, 86430, 58712, 23931, 8445, 55537, 54706, 51997, 18803, 88693, 91224, 76765, 80364, 54372, 32473, 25920, 11574, 99135, 24026, 92271, 88470, 58597, 83103, 19062, 72681, 30900, 94867, 22477, 97890, 11845, 95363, 90122, 81157, 78569, 97434, 29257, 42139, 21444, 18314, 49203, 87787, 77490, 16464, 23314, 88655, 28245, 40610, 77039, 35056, 26782, 53121, 15035, 33766, 99826, 49516, 25895, 64849, 79516, 55109, 69984, 34454, 64785, 43963, 90279, 62151, 46958, 82432, 45518, 97055, 28977, 72436, 5078, 81357, 28531, 87140, 36881, 12972, 41961, 76602, 93251, 35269, 86366, 29241, 57116, 81511, 45059, 75774, 61736, 8949, 66290, 82937, 74263, 25664, 64314, 23804, 66356, 49506, 54758, 72283, 95641, 24157, 15088, 73735, 75655, 44689, 37890, 50565, 81326, 75641, 97055, 26336, 63820, 85404, 18025, 42168, 37351, 31615, 46356, 24714, 67626, 15739, 87755, 14357, 51514, 72102, 84799, 21168, 43828, 13381, 70057, 19482, 13593, 30935, 27564, 89146, 12015, 12458, 43213, 34454, 79142, 43458, 65461, 17883, 21816, 92112, 86516, 85434, 49269, 64819, 45466, 74721, 22910, 47947, 69579, 61494, 31948, 43538, 70090, 9010, 53510, 84446, 70319, 55737, 90913, 75270, 46729, 25590, 61310, 82023, 7307, 29858, 61208, 75084, 41768, 68783, 78580, 99500, 89173, 89685, 45573, 78107, 35025, 73302, 21138, 9181, 68634, 46631, 99853, 36240, 65166, 85440, 58337, 85023, 75995, 55750, 13167, 95292, 49427, 62972, 73620, 46383, 13305, 27078, 90422, 86701, 67621, 18340, 6182, 28474, 75726, 10498, 70275, 71551, 52123, 55103, 73891, 46019, 63980, 10187, 79908, 94400, 60322, 98940, 72466, 36355, 96332, 36858, 95974, 11015, 22254, 55030, 79501, 91439, 70261, 34410, 96661, 63205, 7578, 15095, 7594, 6752, 97648, 28525, 78342, 87761, 9494, 12479, 28819, 91715, 62754, 30535, 43109, 82156, 63362, 79067, 99705, 16698, 50274, 35396, 37248, 6526, 13756, 9457, 66846, 10182, 80553, 5614, 74666, 55842, 38357, 14076, 73144, 36311, 20951, 93037, 49364, 49889, 33119, 52652, 13044, 21800, 12702, 68334, 31654, 45402, 57465, 46859, 34011, 31014, 16076, 47531, 19334, 84699, 46454, 63824, 46099, 77617, 56446, 31654, 43635, 89260, 39843, 13930, 89183, 66809, 64152, 51499, 19378, 68779, 8299, 79092, 58176, 39544)
Average QPS expected = 52042
Timestamp start: 1621804460875
Timestamp end: 1621805961451

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      281.5   351.1    80.4   138.1   168.7   256.5   286.9   304.8   318.3   336.0   360.1   401.7   522.8  7679.4  8138.4   5075.5     5031
read      464.2   775.4    68.9   115.1   139.0   329.2   420.0   476.0   525.3   593.9   715.7  1284.3  2719.3  9294.8 30949.0  54229.5    54838
read      417.1   603.6    68.9   116.6   140.4   329.5   408.3   460.4   504.1   563.7   648.2   839.8  2326.1  5475.8 31734.8  74746.0    74868
read      499.4   895.3    68.9   113.1   134.1   331.1   435.8   527.5   621.6   836.1  1069.0  1291.5  2160.3 11592.7 32223.1  29998.0    30015
read      504.3   726.4    68.9   108.3   127.6   322.7   414.7   495.8   584.0  1024.1  1337.5  1585.9  2020.5  6655.8 31283.9  40740.5    40743
read      510.7   888.9    68.9   107.8   128.2   322.7   462.4   645.4   817.3   932.0  1049.6  1195.9  1923.6 12162.3 31976.1  23650.5    23648
read      650.2   795.0    74.4   291.2   344.9   462.2   530.9   658.8   790.9   893.5  1101.8  1710.1  2410.9 12129.9 29789.6  97504.5    97712
read      423.5   515.8    68.9   111.1   131.9   315.7   400.2   452.0   497.2   567.1   679.1  1378.5  2121.7  5521.7 11758.1  53403.0    53672
read      496.1   652.6    68.9   106.4   127.7   310.8   396.6   449.0   499.8   581.1  1477.8  2024.6  2641.9  4398.7 13698.6  55454.5    55395
read      506.4   677.5    68.9   106.0   124.2   317.4   423.5   528.9   809.2  1058.5  1194.3  1353.0  2094.3  7224.9 25309.1  29327.0    29425
read      549.3  1364.3    74.4   112.5   136.0   334.2   488.4   621.0   689.9   756.0   828.8   941.8  5399.5 28252.1 32365.7  15263.5    15173
read      527.1   899.0    68.9   125.3   159.2   366.5   435.2   496.5   566.5   670.6   834.4  1650.9  2911.6 12408.9 31604.4  81997.5    82475
read      399.4   570.8    68.9   118.5   143.9   328.9   402.8   449.3   486.6   539.0   620.2   747.9  2194.7  6671.5 21115.4  90552.0    90555
read      452.9   694.0    68.9   107.2   126.8   317.9   404.9   459.5   508.1   581.7   731.9  1577.8  2272.5  7483.7 30278.2  47967.5    47944
read      548.2  1014.2    68.9   102.5   120.4   318.8   431.9   544.8   878.1  1083.2  1221.5  1401.9  3169.0 11048.7 32058.3  28209.5    28313
read      565.3   987.3    68.9   110.4   132.0   338.1   476.1   652.6   884.7  1037.6  1166.5  1360.2  3953.9  8486.5 32218.3  28333.0    28504
read      655.4  1603.5    68.9   109.8   131.5   342.8   523.8   751.4   854.2   950.8  1072.1  1391.6  5928.7 30567.0 39265.2  22810.5    22886
read      574.3   962.5    68.9   111.3   133.5   337.4   453.4   577.2   833.6  1119.1  1307.9  1561.9  3873.4  7519.9 32508.0  35571.0    35717
read      569.5  1427.3    74.4   111.6   137.3   335.5   504.5   635.4   698.8   762.8   846.0  1074.0  5024.6 29191.5 37529.2  15070.0    14828
read      615.6   836.3    74.4   140.2   191.3   405.2   470.5   566.4   717.7   866.2  1542.7  1825.1  2800.9  9022.5 31423.6  81674.5    81704
read      412.7   537.7    63.8   111.2   131.7   312.5   397.5   450.6   495.0   553.6   651.4  1179.2  2145.1  4089.3 16006.6  56093.5    55771
read      934.7   844.8    74.4   302.3   322.9   468.3  1419.7  1552.8  1643.6  1754.4  1888.6  2101.6  3047.3  6665.9 22131.2  85039.0    85226
read      759.9   826.6    68.9   153.8   253.7   448.1   615.2   931.5  1466.9  1598.7  1720.3  1946.0  2728.7  8091.4 30820.4  74752.5    75020
read      408.9   727.8    74.4   109.5   127.7   306.0   404.1   485.8   551.7   618.6   694.2   804.2  2454.5  7542.1 36536.1  12456.5    12441
read      487.1   686.7    68.9   107.8   128.1   309.3   395.1   448.8   501.5   585.7  1228.9  1935.7  2498.2  5553.5 27059.7  55988.5    56208
read      425.4   621.2    74.4   111.1   134.2   311.4   424.9   522.2   622.6   717.7   806.7   916.6  1277.6  8243.0 30405.7  17587.0    17446
read      588.9   796.9    68.9   144.4   198.6   410.9   489.7   563.5   674.3   807.2  1395.0  1713.5  2756.7  8320.1 31764.0  86554.5    86943
read      437.1   607.1    68.9   110.4   129.6   315.8   400.8   456.1   504.2   575.7   717.3  1419.6  2135.5  6108.0 25143.3  48830.0    49138
read      471.9   525.2    68.9   105.0   122.9   303.1   389.5   449.0   508.5   609.4  1429.8  1786.2  2184.3  3154.0 10255.3  49889.5    49839
read      466.0   560.0    68.9   102.2   117.9   296.0   380.3   434.2   489.1   578.0  1481.3  1779.8  2135.1  3238.1 10852.4  47692.5    47752
read      464.1   433.3    68.9   106.5   125.6   313.2   426.2   548.4   824.8   981.3  1094.3  1229.4  1473.6  3591.3 12449.0  27319.5    27181
read      413.1  1260.1    74.4   126.8   160.6   276.9   337.1   373.6   401.2   433.9   473.4   557.1  3665.1 18857.8 40725.7   6213.0     6170
read      332.5   330.7    80.4   122.7   152.7   282.6   351.6   393.9   423.2   455.5   494.9   559.3  1391.2  5196.2  8994.9   7091.0     7187
read      550.0   715.8    68.9   158.1   217.5   425.4   482.4   534.0   609.5   750.5   881.9  1565.6  2320.0 10884.6 28461.6  98529.5    99387
read      406.6   760.4    68.9   118.5   145.7   331.4   404.0   449.1   484.5   535.6   614.7   742.4  2290.2  8939.2 32060.4  92141.5    91970
read      399.5   574.1    68.9   113.8   136.6   320.1   397.8   444.0   482.7   537.2   616.7   754.3  2424.9  7785.8 28792.4  79822.5    79658
read      418.7   748.3    68.9   109.6   129.6   312.4   394.4   442.9   483.9   540.6   624.3   870.9  2291.0  7992.4 35179.1  59246.5    59230
read      389.0   507.6    68.9   111.4   132.5   310.5   386.5   434.1   471.9   527.5   603.6   737.9  2454.9  5118.0 11805.7  77596.5    78081
read      403.5   521.5    68.9   110.9   130.9   313.2   395.5   447.0   488.7   544.9   627.5   858.9  2244.9  6760.1  8756.6  63885.0    64242
read      472.4   624.6    68.9   108.3   127.5   316.6   404.5   480.6   559.6   803.7  1155.8  1391.1  2014.0  6969.8 14376.0  38087.0    37702
read      543.0   866.0    68.9   109.0   130.3   330.3   433.7   526.9   666.7  1076.8  1333.7  1608.1  2738.0  8082.1 32003.5  40533.5    40686
read      599.1  1264.9    74.4   109.4   129.5   327.4   466.1   656.8   886.0  1037.7  1176.9  1435.3  4063.5 17049.6 35813.7  30213.0    30376
read      556.3   989.3    74.4   109.8   131.2   327.2   434.2   544.0   780.0  1099.6  1293.7  1546.2  3046.7 11551.6 33406.3  38220.0    38416
read      457.4   700.4    68.9   112.9   136.3   327.4   412.0   469.2   525.3   603.9   736.5  1454.8  2486.9  7521.3 31294.2  65634.0    65892
read      500.9   719.7    68.9   109.1   129.4   321.5   415.0   501.9   596.8   980.1  1251.7  1476.5  1946.7  7978.5 30134.4  39759.0    39560
read      624.4  2009.0    74.4   113.5   138.2   314.2   423.4   485.3   527.7   575.9   640.7   796.8  8987.8 31267.2 32522.4  10131.0    10016
read      503.5   764.5    68.9   110.9   133.2   314.9   401.2   467.3   533.6   679.4  1378.7  1801.8  2363.2  9148.9 19979.0  55106.0    55224
read      566.4  1462.2    74.4   109.5   131.8   319.4   473.5   645.7   733.9   811.4   894.7  1044.4  5763.0 30281.1 32462.5  20121.5    19982
read      521.8   837.5    68.9   105.5   125.1   314.5   403.6   471.0   540.7   735.2  1452.2  1786.7  2498.8 13193.9 30227.3  48135.5    48114
read      507.9   880.3    68.9   102.6   119.3   307.8   393.3   467.2   549.4  1118.6  1332.9  1517.9  2315.9  7219.6 32491.3  36433.5    36283
read      542.7  1221.0    68.9   105.9   126.2   316.6   451.2   635.1   798.4   901.4  1010.9  1157.8  4015.4 18234.9 33704.1  23198.0    23315
read      556.0  1550.5    74.4   111.8   135.4   321.2   440.6   511.7   558.7   609.4   673.3   838.2  6272.6 29810.9 37597.8  11204.5    11150
read      611.6   654.8    68.9   208.7   290.2   426.7   504.1   646.1   743.5   865.9  1408.2  1695.7  2466.4  6443.3 24177.7  98614.0    98724
