ubuntu@client-measure-pmp6:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.226 -a 10.156.15.225 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1500 --qps_interval 2 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 750 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559, 55885, 9039, 66378, 41225, 52371, 39873, 41176, 85357, 85391, 91890, 57558, 9972, 74636, 29773, 63494, 7201, 49507, 65454, 88537, 36982, 88964, 96479, 47883, 50650, 89242, 7374, 8507, 50676, 57069, 43520, 56720, 68155, 60444, 63997, 17315, 78596, 81548, 97254, 46135, 13379, 46993, 98274, 97056, 43434, 36406, 99121, 80708, 40517, 34168, 11754, 93304, 64697, 92626, 75618, 85805, 18930, 50153, 10377, 33112, 28777, 45709, 74458, 73596, 28031, 45754, 80138, 64350, 51870, 81106, 82064, 30534, 25449, 67525, 27070, 41133, 28009, 64235, 16387, 62388, 40199, 16884, 55763, 41925, 42341, 93577, 7657, 14232, 30107, 71078, 85372, 54930, 5750, 80137, 41449, 17301, 19930, 41776, 8596, 30870, 69978, 23908, 9848, 71598, 77156, 14083, 87786, 57205, 53142, 77998, 98830, 32447, 74382, 32271, 55273, 68152, 25419, 43187, 60608, 62150, 30864, 69566, 38183, 51253, 53027, 37133, 73413, 78811, 88317, 46504, 46147, 35073, 18693, 46834, 76427, 96007, 83666, 64655, 54099, 5485, 94089, 57214, 23788, 75649, 39466, 47463, 19155, 18449, 35235, 93118, 76391, 70733, 74230, 37188, 48862, 59325, 66219, 25760, 75255, 67915, 23004, 21973, 82811, 38870, 85697, 94176, 89142, 39251, 36339, 30304, 58303, 78732, 81734, 85654, 40030, 11145, 24220, 36178, 69625, 80189, 64261, 78356, 30570, 63922, 82549, 7574, 42298, 39152, 88634, 60765, 30534, 35563, 96837, 74496, 42819, 50120, 16904, 11439, 24076, 84757, 76496, 34744, 5910, 6391, 25594, 30327, 62849, 91392, 44328, 47665, 79152, 11613, 96212, 27129, 86430, 58712, 23931, 8445, 55537, 54706, 51997, 18803, 88693, 91224, 76765, 80364, 54372, 32473, 25920, 11574, 99135, 24026, 92271, 88470, 58597, 83103, 19062, 72681, 30900, 94867, 22477, 97890, 11845, 95363, 90122, 81157, 78569, 97434, 29257, 42139, 21444, 18314, 49203, 87787, 77490, 16464, 23314, 88655, 28245, 40610, 77039, 35056, 26782, 53121, 15035, 33766, 99826, 49516, 25895, 64849, 79516, 55109, 69984, 34454, 64785, 43963, 90279, 62151, 46958, 82432, 45518, 97055, 28977, 72436, 5078, 81357, 28531, 87140, 36881, 12972, 41961, 76602, 93251, 35269, 86366, 29241, 57116, 81511, 45059, 75774, 61736, 8949, 66290, 82937, 74263, 25664, 64314, 23804, 66356, 49506, 54758, 72283, 95641, 24157, 15088, 73735, 75655, 44689, 37890, 50565, 81326, 75641, 97055, 26336, 63820, 85404, 18025, 42168, 37351, 31615, 46356, 24714, 67626, 15739, 87755, 14357, 51514, 72102, 84799, 21168, 43828, 13381, 70057, 19482, 13593, 30935, 27564, 89146, 12015, 12458, 43213, 34454, 79142, 43458, 65461, 17883, 21816, 92112, 86516, 85434, 49269, 64819, 45466, 74721, 22910, 47947, 69579, 61494, 31948, 43538, 70090, 9010, 53510, 84446, 70319, 55737, 90913, 75270, 46729, 25590, 61310, 82023, 7307, 29858, 61208, 75084, 41768, 68783, 78580, 99500, 89173, 89685, 45573, 78107, 35025, 73302, 21138, 9181, 68634, 46631, 99853, 36240, 65166, 85440, 58337, 85023, 75995, 55750, 13167, 95292, 49427, 62972, 73620, 46383, 13305, 27078, 90422, 86701, 67621, 18340, 6182, 28474, 75726, 10498, 70275, 71551, 52123, 55103, 73891, 46019, 63980, 10187, 79908, 94400, 60322, 98940, 72466, 36355, 96332, 36858, 95974, 11015, 22254, 55030, 79501, 91439, 70261, 34410, 96661, 63205, 7578, 15095, 7594, 6752, 97648, 28525, 78342, 87761, 9494, 12479, 28819, 91715, 62754, 30535, 43109, 82156, 63362, 79067, 99705, 16698, 50274, 35396, 37248, 6526, 13756, 9457, 66846, 10182, 80553, 5614, 74666, 55842, 38357, 14076, 73144, 36311, 20951, 93037, 49364, 49889, 33119, 52652, 13044, 21800, 12702, 68334, 31654, 45402, 57465, 46859, 34011, 31014, 16076, 47531, 19334, 84699, 46454, 63824, 46099, 77617, 56446, 31654, 43635, 89260, 39843, 13930, 89183, 66809, 64152, 51499, 19378, 68779, 8299, 79092, 58176, 39544)
Average QPS expected = 52042
Timestamp start: 1621806341797
Timestamp end: 1621807842370

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      312.9   861.0    80.4   136.3   168.8   254.4   285.2   303.0   317.1   336.2   362.3   412.4  1237.0  7568.2 31925.1   4973.5     5031
read      565.7   964.1    68.9   114.6   138.9   330.4   430.7   507.2   591.3   807.7  1496.4  2002.7  2792.3  9577.6 31998.7  54450.0    54838
read      584.5   697.5    68.9   133.6   173.2   413.8   496.6   571.7   660.1   821.5  1481.5  1823.9  2724.3  5279.5 25786.9  75250.0    74868
read      517.7   813.9    68.9   112.3   133.7   334.5   456.0   573.0   766.7   970.0  1123.2  1318.7  2277.0 10852.3 31911.4  30174.0    30015
read      525.2   879.0    74.4   110.1   130.1   326.2   422.8   518.8   663.7  1087.9  1300.9  1516.6  1946.9 11924.4 31932.4  40794.0    40743
read      501.2   778.8    74.4   108.6   129.9   321.4   462.8   647.7   800.1   903.8  1015.5  1152.1  2132.1  8633.0 31100.2  23643.0    23648
read      625.1   655.0    74.4   254.9   323.8   445.0   506.2   635.0   775.8   870.4  1132.6  1716.2  2444.6  7956.1 24777.0  97723.5    97712
read      461.2   583.1    68.9   111.2   131.7   319.0   410.2   470.6   530.9   623.6   979.4  1592.3  2199.7  5618.0 11578.0  53605.0    53672
read      509.8   577.1    68.9   115.7   138.2   321.9   417.3   494.5   579.2   814.7  1405.2  1822.0  2357.4  3524.6 11894.6  55728.0    55395
read      527.4   871.2    74.4   111.4   132.8   327.4   456.9   607.7   853.7  1012.6  1131.1  1286.7  2565.1  9375.9 32066.2  29258.0    29425
read      575.1  1574.0    74.4   114.4   138.7   338.4   495.3   615.2   681.5   744.5   819.3   958.8  6379.6 30273.0 45993.7  15213.0    15173
read      571.4   936.2    68.9   136.6   180.6   415.2   492.6   551.4   621.5   743.6   934.0  1643.2  2747.0 12264.3 32020.7  82397.5    82475
read      427.8   629.3    68.9   125.6   154.5   356.2   429.6   473.1   512.9   572.4   659.1   802.8  2235.5  7924.2 31005.9  90418.5    90555
read      494.4   787.8    74.4   115.6   137.8   340.4   435.4   495.3   550.8   643.0   901.6  1573.1  2509.0  9964.3 31516.6  48003.0    47944
read      529.4   739.0    68.9   109.4   130.3   325.6   459.3   641.5   865.5  1012.9  1138.8  1315.8  3054.4  6726.2 30821.7  28267.5    28313
read      543.2   981.6    68.9   111.3   133.9   335.5   465.7   639.3   879.7  1023.3  1143.6  1311.2  2827.7  8978.8 32461.3  28525.5    28504
read      612.1  1439.9    74.4   112.6   135.7   342.5   507.6   711.2   838.5   943.0  1062.9  1257.3  4988.2 28275.8 37094.5  22973.5    22886
read      555.4  1027.2    68.9   113.3   134.0   332.3   439.0   554.5   816.1  1092.6  1264.9  1466.2  2364.7 14035.4 35426.4  35726.5    35717
read      538.2  1443.0    74.4   113.8   139.2   327.9   483.7   607.7   673.1   733.8   802.4   909.8  3809.7 25017.7 38700.1  14966.0    14828
read      662.2   877.3    68.9   152.4   216.0   426.4   503.6   641.1   806.2  1173.0  1602.4  1873.3  2774.0 11965.0 31601.4  81708.5    81704
read      401.5   501.2    74.4   113.2   133.9   326.4   412.0   458.7   496.9   547.6   622.4   799.7  1988.5  5140.5 12812.3  55541.0    55771
read      455.6   827.8    74.4   123.6   153.2   357.2   432.0   477.3   517.6   579.6   674.1   829.5  2998.2  9955.9 32024.1  84910.0    85226
read      413.4   630.8    68.9   116.7   139.3   328.8   411.7   462.0   502.2   558.3   638.1   802.5  2400.4  6550.2 31446.7  74727.0    75020
read      327.2   254.8    74.4   119.9   141.7   304.3   362.4   396.0   421.5   455.8   508.8   615.7   806.9  3785.1  7913.8  12475.0    12441
read      378.1   376.0    68.9   112.9   133.5   318.4   400.5   447.5   484.7   535.6   606.7   761.7  1811.8  2902.3  9913.2  56183.5    56208
read      429.0   670.9    74.4   113.1   133.7   311.4   404.5   467.4   532.2   631.3   765.2   945.6  2501.7  7589.2 31123.2  17446.5    17446
read      539.5   762.1    74.4   139.5   182.7   409.1   480.6   535.1   594.6   714.6   885.1  1600.5  2567.8  8896.2 31470.4  86865.5    86943
read      522.2   719.0    74.4   113.4   134.8   327.1   424.9   492.8   566.7   736.1  1433.9  1850.4  2471.6  7276.8 30706.5  49041.0    49138
read      489.8   597.3    74.4   107.7   126.4   307.5   398.9   452.2   503.9   591.5  1545.2  1948.4  2390.9  3635.5 11073.2  50002.0    49839
read      484.8   555.2    68.9   106.5   123.6   306.5   396.9   451.4   507.8   602.8  1535.3  1871.2  2314.6  3067.0  7981.6  47613.0    47752
read      464.6   477.8    68.9   106.4   124.2   309.0   419.9   535.6   819.1   998.2  1121.2  1265.1  1493.2  3172.5 13323.0  27119.5    27181
read      404.8  1280.8    80.4   124.4   159.8   268.3   330.7   368.1   394.2   425.6   465.7   534.4  4202.3 29004.1 32273.3   6249.0     6170
read      344.0   555.8    80.4   125.3   158.3   288.6   364.9   407.8   436.3   469.9   511.0   584.0  1150.4  4838.4 20332.8   7147.5     7187
read      482.1   600.7    68.9   141.3   185.8   394.0   454.8   495.9   540.2   632.5   766.5   962.5  2079.6  7510.0 20560.7  99010.5    99387
read      429.7   780.4    68.9   124.4   153.5   350.2   419.7   462.4   498.9   549.5   636.9   777.4  2446.4  8603.1 31673.8  91775.0    91970
read      405.2   668.3    74.4   116.1   139.0   330.3   408.8   454.7   490.9   539.5   616.5   747.8  2329.9  7888.1 30947.1  79457.5    79658
read      412.8   626.1    68.9   111.2   132.7   325.0   408.4   457.2   496.7   548.7   628.4   843.7  2137.5  7906.1 30404.0  59003.0    59230
read      397.1   523.1    68.9   112.5   134.5   319.5   397.2   445.4   485.6   537.0   612.4   752.8  2427.0  4989.1 18748.2  78263.5    78081
read      405.7   636.8    68.9   111.4   132.3   317.6   399.6   447.6   486.2   538.6   612.1   756.7  2325.5  7223.9 31147.4  64293.0    64242
read      512.6   975.1    68.9   109.2   128.6   321.7   414.0   495.0   589.0   928.3  1191.1  1424.5  2353.8  7912.4 35576.7  37785.5    37702
read      505.7   663.5    68.9   107.9   127.1   319.1   414.5   508.6   642.3  1066.5  1291.2  1510.2  2002.7  7765.6 29273.8  40656.5    40686
read      538.2  1173.8    68.9   107.5   127.3   317.8   433.4   576.9   829.0  1017.5  1145.3  1310.4  2594.2 18253.7 40939.4  30209.0    30376
read      513.3   784.9    68.9   106.8   126.9   319.7   419.9   528.4   723.0  1054.1  1241.2  1445.2  2013.8  8726.5 31536.0  38458.0    38416
