ubuntu@client-measure-pmp6:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.226 -a 10.156.15.225 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 3 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 600 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559, 55885, 9039, 66378, 41225, 52371, 39873, 41176, 85357, 85391, 91890, 57558, 9972, 74636, 29773, 63494, 7201, 49507, 65454, 88537, 36982, 88964, 96479, 47883, 50650, 89242, 7374, 8507, 50676, 57069, 43520, 56720, 68155, 60444, 63997, 17315, 78596, 81548, 97254, 46135, 13379, 46993, 98274, 97056, 43434, 36406, 99121, 80708, 40517, 34168, 11754, 93304, 64697, 92626, 75618, 85805, 18930, 50153, 10377, 33112, 28777, 45709, 74458, 73596, 28031, 45754, 80138, 64350, 51870, 81106, 82064, 30534, 25449, 67525, 27070, 41133, 28009, 64235, 16387, 62388, 40199, 16884, 55763, 41925, 42341, 93577, 7657, 14232, 30107, 71078, 85372, 54930, 5750, 80137, 41449, 17301, 19930, 41776, 8596, 30870, 69978, 23908, 9848, 71598, 77156, 14083, 87786, 57205, 53142, 77998, 98830, 32447, 74382, 32271, 55273, 68152, 25419, 43187, 60608, 62150, 30864, 69566, 38183, 51253, 53027, 37133, 73413, 78811, 88317, 46504, 46147, 35073, 18693, 46834, 76427, 96007, 83666, 64655, 54099, 5485, 94089, 57214, 23788, 75649, 39466, 47463, 19155, 18449, 35235, 93118, 76391, 70733, 74230, 37188, 48862, 59325, 66219, 25760, 75255, 67915, 23004, 21973, 82811, 38870, 85697, 94176, 89142, 39251, 36339, 30304, 58303, 78732, 81734, 85654, 40030, 11145, 24220, 36178, 69625, 80189, 64261, 78356, 30570, 63922, 82549, 7574, 42298, 39152, 88634, 60765, 30534, 35563, 96837, 74496, 42819, 50120, 16904, 11439, 24076, 84757, 76496, 34744, 5910, 6391, 25594, 30327, 62849, 91392, 44328, 47665, 79152, 11613, 96212, 27129, 86430, 58712, 23931, 8445, 55537, 54706, 51997, 18803, 88693, 91224, 76765, 80364, 54372, 32473, 25920, 11574, 99135, 24026, 92271, 88470, 58597, 83103, 19062, 72681, 30900, 94867, 22477, 97890, 11845, 95363, 90122, 81157, 78569, 97434, 29257, 42139, 21444, 18314, 49203, 87787, 77490, 16464, 23314, 88655, 28245, 40610, 77039, 35056, 26782, 53121, 15035, 33766, 99826, 49516, 25895, 64849, 79516, 55109, 69984, 34454, 64785, 43963, 90279, 62151, 46958, 82432, 45518, 97055, 28977, 72436, 5078, 81357, 28531, 87140, 36881, 12972, 41961, 76602, 93251, 35269, 86366, 29241, 57116, 81511, 45059, 75774, 61736, 8949, 66290, 82937, 74263, 25664, 64314, 23804, 66356, 49506, 54758, 72283, 95641, 24157, 15088, 73735, 75655, 44689, 37890, 50565, 81326, 75641, 97055, 26336, 63820, 85404, 18025, 42168, 37351, 31615, 46356, 24714, 67626, 15739, 87755, 14357, 51514, 72102, 84799, 21168, 43828, 13381, 70057, 19482, 13593, 30935, 27564, 89146, 12015, 12458, 43213, 34454, 79142, 43458, 65461, 17883, 21816, 92112, 86516, 85434, 49269, 64819, 45466, 74721, 22910, 47947, 69579, 61494, 31948, 43538, 70090, 9010, 53510, 84446, 70319, 55737)
Average QPS expected = 52043
Timestamp start: 1621796783171
Timestamp end: 1621798583718

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      289.4   546.0    80.4   144.9   174.3   247.7   275.7   295.0   310.2   328.8   355.7   402.6   898.3  7643.0 21344.6   4941.0     5031
read      429.6   679.7    68.9   115.9   137.8   324.7   412.7   466.4   510.9   570.5   657.2   972.1  2365.1  6664.6 30950.3  54708.7    54838
read      445.9   751.2    68.9   118.7   144.2   348.0   429.3   478.2   519.7   579.2   670.1   851.5  2744.8  9608.7 31043.6  74824.7    74868
read      539.1  1032.6    68.9   111.3   132.1   327.5   455.7   586.9   798.7   982.1  1126.3  1314.9  3171.5 11961.7 32249.3  29980.3    30015
read      503.3   681.6    68.9   109.2   127.8   313.2   413.4   511.3   662.8  1057.0  1290.8  1512.6  1982.1  7142.5 29874.1  40720.0    40743
read      474.8   712.2    68.9   110.0   130.3   314.8   465.3   642.0   788.9   886.5   979.9  1092.1  1405.3  8689.3 31386.4  23798.7    23648
read      447.1   547.7    74.4   132.8   168.4   365.9   434.2   482.1   526.4   596.5   705.5   890.1  2071.6  6318.6 20378.1  97700.0    97712
read      484.1   667.1    74.4   113.2   134.6   315.8   407.3   473.1   539.0   656.7  1182.6  1720.0  2308.0  7149.3 18906.9  54004.0    53672
read      481.7   746.6    68.9   106.7   125.0   291.8   376.2   435.3   495.0   589.7  1400.8  1871.3  2345.9  8796.3 30195.6  55217.3    55395
read      544.9  1056.8    68.9   108.5   127.0   316.1   436.6   581.0   858.7  1040.3  1172.3  1349.4  2969.8 15325.7 33990.8  29575.7    29425
read      611.4  1773.2    74.4   112.1   134.8   329.5   491.4   605.1   666.9   735.1   811.8   968.0  7717.0 30424.0 38276.8  15170.7    15173
read      487.2   829.7    68.9   124.3   154.4   359.1   430.9   484.7   537.7   626.6   759.0  1459.1  2710.4  9037.4 32132.0  82402.7    82475
read      437.7   726.9    68.9   126.5   156.4   353.3   427.9   476.1   518.1   578.7   663.4   803.4  2492.0  9041.7 31466.8  90635.7    90555
read      504.9   759.6    68.9   112.2   132.3   318.2   414.2   485.1   554.3   702.2  1315.0  1758.0  2347.7  9662.7 29881.6  48062.0    47944
read      613.4  1248.3    74.4   115.1   137.0   342.9   497.0   723.3   923.2  1060.8  1202.1  1455.3  4440.1 13425.6 37017.0  28351.0    28313
read      543.8   892.0    74.4   116.0   137.9   333.8   483.0   672.0   872.4  1011.3  1143.6  1326.9  2458.7 11243.7 32329.7  28447.7    28504
read      529.6   819.9    68.9   116.7   139.3   339.3   506.8   686.5   819.7   922.3  1027.8  1172.6  3105.9  9878.1 31026.1  22801.3    22886
read      508.1   629.4    68.9   115.2   135.7   322.9   434.7   548.4   780.6  1056.1  1244.6  1450.5  1962.9  4813.2 25352.5  35771.3    35717
read      399.2   335.5    68.9   111.6   133.7   312.7   461.7   568.2   623.2   677.2   741.7   827.5  1015.3  3775.2  7850.2  14930.7    14828
read      531.4   921.4    68.9   125.3   159.0   366.3   432.5   489.0   552.6   655.7   790.2  1616.0  3545.5 10933.6 31924.8  81518.0    81704
read      412.3   653.8    68.9   111.6   131.6   319.1   404.8   454.7   495.5   550.2   632.3   901.4  2107.9  7205.4 31993.0  55827.7    55771
read      419.3   607.1    68.9   119.2   145.9   339.1   414.2   460.7   500.3   556.6   642.2   791.8  2782.9  6893.6 29325.6  85129.7    85226
read      424.1   777.5    68.9   114.3   136.6   325.5   401.9   450.7   491.3   548.8   633.9   801.9  2599.5  8827.8 35322.4  75110.7    75020
read      391.1   490.8    74.4   114.7   138.3   309.8   429.9   511.4   562.4   613.4   671.7   758.8  1174.9  5490.0 24154.1  12469.3    12441
read      482.6   716.8    68.9   106.3   126.0   293.8   382.4   446.7   507.5   623.1  1324.8  1846.5  2367.1  7648.2 30828.4  56181.7    56208
read      564.1  1571.5    68.9   107.6   129.5   313.0   473.6   616.3   686.6   759.9   842.0   975.6  5801.6 30629.0 41378.3  17515.7    17446
read      459.6   894.7    68.9   120.7   149.2   343.5   412.6   460.5   505.9   579.9   682.4   924.7  2613.8 12410.5 32340.9  87029.7    86943
read      470.6   641.8    68.9   108.4   126.7   302.1   395.7   471.1   548.8   737.2  1206.1  1563.9  2106.4  5868.7 23262.7  49089.7    49138
read      538.7   788.4    68.9   109.9   130.7   312.6   414.6   511.0   650.2  1072.1  1429.2  1725.0  2770.0  6753.7 31184.1  49646.3    49839
read      544.2   900.4    68.9   107.9   127.9   312.4   412.6   501.8   614.4  1042.6  1418.9  1727.8  2865.6  9434.7 31947.4  47839.7    47752
read      493.6   702.7    68.9   107.0   126.5   310.8   457.0   653.9   815.1   924.4  1031.6  1176.8  2088.5  8362.6 29429.0  27175.7    27181
read      631.7  2577.3    74.4   122.8   154.3   263.6   329.1   370.5   398.7   434.2   484.1   694.0  9084.3 36404.1 40316.3   6210.3     6170
read      638.7  2397.7    74.4   119.8   152.8   279.5   361.3   407.9   439.1   476.9   532.9   799.3  9162.1 35349.5 37918.4   7110.3     7187
read      496.5   731.3    68.9   142.2   187.0   386.9   445.0   491.5   549.5   655.9   784.6  1095.9  2357.7  8697.9 31103.9  99029.7    99387
read      406.2   660.8    68.9   119.6   146.3   331.4   402.6   446.9   484.5   539.8   620.0   748.5  2615.6  6900.3 30945.1  91987.3    91970
