1621796787.6266778	dedup	start	0,1	3
1621796788.278859	fft	start	0,1	2
1621796792.294895	fft	pause
1621796793.010828	dedup	update	0,1,2
1621796801.8686671	dedup	update	0,1
1621796805.327583	dedup	update	0,1,2
1621796816.9670727	dedup	update	0,1
1621796824.4358041	dedup	update	0,1,2
1621796830.5782485	fft	resume
1621796831.742731	dedup	remove
1621796832.1677222	blackscholes	start	0,1,2	3
1621796841.300239	blackscholes	update	0,1
1621796852.9503725	blackscholes	update	0,1,2
1621796856.3941329	fft	pause
1621796861.9233692	blackscholes	update	0,1
1621796865.3941538	blackscholes	update	0,1,2
1621796883.1067114	blackscholes	update	0,1
1621796900.838464	blackscholes	update	0,1,2
1621796913.113874	blackscholes	update	0,1
1621796915.8865116	blackscholes	update	0,1,2
1621796940.2923083	blackscholes	update	0,1
1621796945.780003	blackscholes	update	0,1,2
1621796949.4417274	blackscholes	update	0,1
1621796952.2115505	blackscholes	update	0,1,2
1621796955.0005624	blackscholes	update	0,1
1621796957.757951	blackscholes	update	0,1,2
1621796964.1190486	blackscholes	update	0,1
1621796966.8785713	blackscholes	update	0,1,2
1621796970.3347218	blackscholes	update	0,1
1621796973.0942636	blackscholes	update	0,1,2
1621796979.235514	blackscholes	update	0,1
1621796981.9898858	blackscholes	update	0,1,2
1621796982.7001774	fft	resume
1621796985.4797187	blackscholes	update	0,1
1621796991.0149848	blackscholes	update	0,1,2
1621796993.958523	blackscholes	remove
1621796994.4266958	canneal	start	0,1,2	3
1621797000.7267048	canneal	update	0,1
1621797002.854685	canneal	update	0,1,2
1621797017.9363627	canneal	update	0,1
1621797021.4153292	canneal	update	0,1,2
1621797024.236105	canneal	update	0,1
1621797027.0143235	canneal	update	0,1,2
1621797030.603262	canneal	update	0,1
1621797036.8187435	canneal	update	0,1,2
1621797042.4005797	canneal	update	0,1
1621797045.2115293	canneal	update	0,1,2
1621797048.009048	canneal	update	0,1
1621797050.839928	canneal	update	0,1,2
1621797054.394505	canneal	update	0,1
1621797065.4146419	canneal	update	0,1,2
1621797066.1722002	canneal	update	0,1
1621797068.964052	canneal	update	0,1,2
1621797084.0447528	canneal	update	0,1
1621797090.2378757	canneal	update	0,1,2
1621797096.5176852	canneal	update	0,1
1621797097.950651	canneal	update	0,1,2
1621797102.2709506	canneal	update	0,1
1621797102.996601	fft	remove
1621797105.0345688	canneal	update	0,1,2
1621797111.1199558	canneal	update	0,1
1621797113.8358893	canneal	update	0,1,2
1621797131.8522253	canneal	update	0,1
1621797137.899068	canneal	update	0,1,2
1621797143.976787	canneal	update	0,1
1621797150.0226402	canneal	update	0,1,2
1621797159.4296691	canneal	update	0,1
1621797162.1550035	canneal	update	0,1,2
1621797168.200512	canneal	update	0,1
1621797170.9236987	canneal	update	0,1,2
1621797182.938834	canneal	update	0,1
1621797186.3057733	canneal	update	0,1,2
1621797192.39562	canneal	update	0,1
1621797195.1113217	canneal	update	0,1,2
1621797197.846701	canneal	update	0,1
1621797203.2392597	canneal	update	0,1,2
1621797203.9677207	canneal	update	0,1
1621797207.3553128	canneal	update	0,1,2
1621797222.0159094	canneal	update	0,1
1621797231.3906085	canneal	update	0,1,2
1621797261.350721	canneal	update	0,1
1621797264.06263	canneal	update	0,1,2
1621797274.0919883	canneal	update	0,1
1621797274.8145971	canneal	update	0,1,2
1621797278.863912	canneal	update	0,1
1621797290.9141223	canneal	update	0,1,2
1621797296.2943132	canneal	remove
1621797297.3395398	ferret	start	0,1,2	3
1621797300.0712848	ferret	update	0,1
1621797309.4543357	ferret	update	0,1,2
1621797312.182956	ferret	update	0,1
1621797320.891294	ferret	update	0,1,2
1621797324.2843006	ferret	update	0,1
1621797333.2529767	ferret	update	0,1,2
1621797338.0125852	ferret	update	0,1
1621797339.4517343	ferret	update	0,1,2
1621797342.4553826	ferret	update	0,1
1621797345.1987574	ferret	update	0,1,2
1621797353.9043334	ferret	update	0,1
1621797357.2822924	ferret	update	0,1,2
1621797365.9948313	ferret	update	0,1
1621797369.37539	ferret	update	0,1,2
1621797372.1043143	ferret	update	0,1
1621797378.1633031	ferret	update	0,1,2
1621797380.9229913	ferret	update	0,1
1621797386.9668026	ferret	update	0,1,2
1621797396.3549528	ferret	update	0,1
1621797399.0757887	ferret	update	0,1,2
1621797405.1402292	ferret	update	0,1
1621797407.8504448	ferret	update	0,1,2
1621797417.2069957	ferret	update	0,1
1621797419.927009	ferret	update	0,1,2
1621797423.3314068	ferret	update	0,1
1621797427.3793623	ferret	update	0,1,2
1621797432.1123087	ferret	update	0,1
1621797438.1682246	ferret	update	0,1,2
1621797440.8961694	ferret	update	0,1
1621797444.297606	ferret	update	0,1,2
1621797453.0195732	ferret	update	0,1
1621797459.0710943	ferret	update	0,1,2
1621797461.168687	ferret	update	0,1
1621797461.8816743	ferret	update	0,1,2
1621797465.357165	ferret	update	0,1
1621797468.0762393	ferret	update	0,1,2
1621797480.123794	ferret	update	0,1
1621797492.1553798	ferret	update	0,1,2
1621797494.9307346	ferret	update	0,1
1621797498.3197885	ferret	update	0,1,2
1621797501.0712733	ferret	update	0,1
1621797503.7830734	ferret	update	0,1,2
1621797509.8286119	ferret	update	0,1
1621797515.8869143	ferret	update	0,1,2
1621797519.2760003	ferret	update	0,1
1621797525.3235178	ferret	update	0,1,2
1621797531.3843496	ferret	update	0,1
1621797534.115485	ferret	update	0,1,2
1621797544.1305103	ferret	update	0,1
1621797546.194233	ferret	update	0,1,2
1621797552.2595508	ferret	update	0,1
1621797560.9520793	ferret	update	0,1,2
1621797564.352639	ferret	update	0,1
1621797573.0674675	ferret	update	0,1,2
1621797582.4759939	ferret	update	0,1
1621797587.8558426	ferret	update	0,1,2
1621797593.9523528	ferret	update	0,1
1621797600.0197551	ferret	update	0,1,2
1621797609.4247184	ferret	update	0,1
1621797624.1034536	ferret	update	0,1,2
1621797642.1882434	ferret	update	0,1
1621797648.2242277	ferret	update	0,1,2
1621797654.2707794	ferret	update	0,1
1621797660.980242	ferret	update	0,1,2
1621797663.0482905	ferret	update	0,1
1621797669.0913866	ferret	update	0,1,2
1621797675.1618166	ferret	update	0,1
1621797677.8712995	ferret	update	0,1,2
1621797687.9041555	ferret	update	0,1
1621797689.9470506	ferret	update	0,1,2
1621797693.3880064	ferret	update	0,1
1621797696.1096585	ferret	update	0,1,2
1621797711.47542	ferret	update	0,1
1621797714.1958857	ferret	update	0,1,2
1621797722.8998537	ferret	update	0,1
1621797731.5908036	ferret	update	0,1,2
1621797734.979059	ferret	update	0,1
1621797738.354133	ferret	update	0,1,2
1621797756.4642708	ferret	update	0,1
1621797759.1730678	ferret	update	0,1,2
1621797765.2207735	ferret	update	0,1
1621797771.2592034	ferret	update	0,1,2
1621797774.0080228	ferret	update	0,1
1621797780.0592682	ferret	update	0,1,2
1621797782.7958403	ferret	update	0,1
1621797788.847074	ferret	update	0,1,2
1621797792.2443314	ferret	update	0,1
1621797794.9553616	ferret	update	0,1,2
1621797801.0053778	ferret	update	0,1
1621797804.387244	ferret	update	0,1,2
1621797811.771255	ferret	update	0,1
1621797815.8204844	ferret	update	0,1,2
1621797819.244601	ferret	update	0,1
1621797821.9673758	ferret	update	0,1,2
1621797833.985816	ferret	update	0,1
1621797843.371692	ferret	update	0,1,2
1621797858.0688565	ferret	update	0,1
1621797870.100263	ferret	update	0,1,2
1621797872.1686795	ferret	update	0,1
1621797872.8829772	ferret	update	0,1,2
1621797876.2704263	ferret	update	0,1
1621797878.9945257	ferret	update	0,1,2
1621797879.7513652	ferret	update	0,1
1621797881.794602	ferret	update	0,1,2
1621797885.1803021	ferret	update	0,1
1621797887.9073403	ferret	update	0,1,2
1621797898.6854467	ferret	remove
1621797899.0796201	freqmine	start	0,1,2	3
1621797903.1162248	freqmine	update	0,1
1621797915.1506302	freqmine	update	0,1,2
1621797922.5314205	freqmine	update	0,1
1621797927.2432969	freqmine	update	0,1,2
1621797929.9710379	freqmine	update	0,1
1621797936.199341	freqmine	update	0,1,2
1621797942.4524484	freqmine	update	0,1
1621797945.1719267	freqmine	update	0,1,2
1621797947.9481485	freqmine	update	0,1
1621797957.3104174	freqmine	update	0,1,2
1621797966.0286252	freqmine	update	0,1
1621797967.4114034	freqmine	update	0,1,2
1621797968.8163674	freqmine	update	0,1
1621797978.1783981	freqmine	update	0,1,2
1621797990.204418	freqmine	update	0,1
1621798002.223181	freqmine	update	0,1,2
1621798005.010683	freqmine	update	0,1
1621798011.0513499	freqmine	update	0,1,2
1621798020.506579	freqmine	update	0,1
1621798025.8907142	freqmine	update	0,1,2
1621798031.9480672	freqmine	update	0,1
1621798037.9958544	freqmine	update	0,1,2
1621798053.3664489	freqmine	update	0,1
1621798059.4152393	freqmine	update	0,1,2
1621798074.1940112	freqmine	update	0,1
1621798080.24759	freqmine	update	0,1,2
1621798086.3072133	freqmine	update	0,1
1621798089.0182054	freqmine	update	0,1,2
1621798092.6204712	freqmine	update	0,1
1621798095.3537526	freqmine	update	0,1,2
1621798098.2364478	freqmine	update	0,1
1621798104.2797463	freqmine	update	0,1,2
1621798114.9845114	freqmine	update	0,1
1621798115.7066736	freqmine	update	0,1,2
1621798122.523603	freqmine	update	0,1
1621798133.899711	freqmine	update	0,1,2
1621798145.9388456	freqmine	update	0,1
1621798149.3275712	freqmine	update	0,1,2
1621798152.0599015	freqmine	update	0,1
1621798164.1038847	freqmine	update	0,1,2
1621798167.5387301	freqmine	update	0,1
1621798170.254418	freqmine	update	0,1,2
1621798173.107837	freqmine	update	0,1
1621798175.8233001	freqmine	update	0,1,2
1621798179.2323074	freqmine	update	0,1
1621798181.9502356	freqmine	update	0,1,2
1621798185.3470178	freqmine	update	0,1
1621798200.047739	freqmine	update	0,1,2
1621798206.0811074	freqmine	remove
