root@client-measure-kr6b:/home/ubuntu/memcache-perf-dynamic# ./mcperf -s 10.156.15.215 -a 10.156.15.217 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1800 --qps_interval 10 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 180 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676)
Average QPS expected = 50230
Timestamp start: 1621378408082
Timestamp end: 1621380208521

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      315.9   507.7    74.4   149.1   186.2   270.6   311.3   338.3   360.5   387.9   423.6   480.2   758.5  5654.2 28603.0   5033.4     5031
read      469.4   516.0    63.8   113.3   133.0   304.5   398.3   478.6   562.0   823.0  1243.5  1591.6  2022.6  2713.9 12364.6  54641.5    54838
read      401.3   437.8    63.8   114.0   136.6   325.2   404.5   457.7   500.1   555.4   636.9   854.0  1994.9  4074.2 12487.3  74719.2    74868
read      482.0   657.7    68.9   110.1   130.5   319.7   435.7   546.0   741.9   951.2  1084.4  1236.0  1639.6  7155.3 31010.6  29900.3    30015
read      516.0   835.1    68.9   109.2   129.7   323.9   416.0   495.1   579.0  1011.9  1318.0  1548.0  2117.8  9095.0 31719.4  40723.3    40743
read      499.5   910.0    68.9   109.8   130.7   318.7   457.7   629.8   784.0   898.8   997.8  1121.9  1883.7  9786.1 32500.8  23632.3    23648
read      781.4  1309.3    63.8   130.2   168.9   409.6   528.9   708.7  1039.1  1736.4  2078.4  2456.6  3924.7 18321.5 35935.4  97673.9    97712
read      554.0  1404.6    68.9   150.4   214.3   433.0   482.3   519.7   564.2   688.3   822.0   936.0  2147.5 30736.3 37382.7  53713.0    53672
read      478.5   741.2    63.8   103.7   121.3   297.5   381.8   435.4   486.3   558.4  1398.3  1906.6  2389.3  7376.0 28621.0  55394.9    55395
read      498.3   811.3    68.9   110.0   130.8   317.7   435.3   561.1   814.2   979.8  1101.8  1244.6  1651.4  9126.7 31827.8  29477.9    29425
read      513.0  1258.9    68.9   112.7   137.8   336.0   475.9   591.8   650.6   708.3   787.0   913.0  4310.8 20958.1 37073.7  15138.7    15173
read      432.6   646.5    63.8   117.1   143.8   344.1   417.9   466.2   508.4   572.1   669.4   904.1  2054.9  8533.4 30298.8  82278.8    82475
read      379.2   462.9    63.8   116.8   141.9   328.8   402.1   448.5   485.4   533.2   601.4   719.6  1243.2  5664.1 15592.3  90500.0    90555
read      481.8   671.5    63.8   108.0   127.0   320.9   412.1   474.4   530.6   622.4  1262.0  1690.7  2238.2  7064.8 25811.2  48027.7    47944
read      468.5   514.3    63.8   111.4   131.5   316.9   440.6   569.8   813.5   958.5  1070.0  1194.7  1425.1  5584.4 16354.4  28353.3    28313
read      690.3  1500.0    63.8   117.1   141.1   363.4   568.5   794.9   934.6  1058.0  1226.3  1964.2  5528.5 29170.1 38489.6  28541.5    28504
read      484.4   864.3    68.9   113.1   136.0   333.9   463.9   566.5   688.6   835.8   953.5  1094.7  1749.1 11461.7 32068.0  22847.5    22886
read      618.9  1369.9    63.8   112.5   135.6   344.5   457.8   574.0   843.2  1107.1  1300.8  1570.5  4123.5 27909.1 37901.1  35712.2    35717
read      499.8  1185.2    68.9   113.3   138.1   337.6   477.9   587.0   645.0   700.6   779.9   903.6  3848.5 13842.5 37324.9  14915.9    14828
