ubuntu@client-measure-pmp6:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.226 -a 10.156.15.225 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1500 --qps_interval 5 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 300 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559, 55885, 9039, 66378, 41225, 52371, 39873, 41176, 85357, 85391, 91890, 57558, 9972, 74636, 29773, 63494, 7201, 49507, 65454, 88537, 36982, 88964, 96479, 47883, 50650, 89242, 7374, 8507, 50676, 57069, 43520, 56720, 68155, 60444, 63997, 17315, 78596, 81548, 97254, 46135, 13379, 46993, 98274, 97056, 43434, 36406, 99121, 80708, 40517, 34168, 11754, 93304, 64697, 92626, 75618, 85805, 18930, 50153, 10377, 33112, 28777, 45709, 74458, 73596, 28031, 45754, 80138, 64350, 51870, 81106, 82064, 30534, 25449, 67525, 27070, 41133)
Average QPS expected = 51692
Timestamp start: 1621812983700
Timestamp end: 1621814484179

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      430.1  1653.7    80.4   136.6   164.8   267.7   315.9   344.2   367.0   395.6   436.5   538.6  3695.4 31665.3 37557.3   4966.8     5031
read      476.1   588.0    68.9   109.3   128.5   297.0   389.2   457.1   530.0   704.6  1315.1  1727.3  2242.4  4104.2 15290.9  54500.4    54838
read      483.6   725.8    68.9   116.0   142.9   353.8   427.0   483.4   538.2   620.7   758.4  1567.4  2634.2  8938.7 30609.6  74807.4    74868
read      511.2   951.3    68.9   107.8   127.5   318.9   433.7   555.2   766.5   958.8  1104.0  1272.3  2212.3 10698.3 34051.2  30131.4    30015
read      506.8   746.0    68.9   108.6   127.9   313.2   413.8   512.9   687.3  1043.7  1262.1  1475.6  2021.9  7097.6 31327.9  40801.2    40743
read      536.9  1182.1    68.9   107.7   128.0   313.6   458.4   652.7   791.7   890.7   988.2  1132.4  3891.7 15385.1 36300.3  23643.8    23648
read      477.1   670.6    68.9   132.5   172.3   388.6   451.9   494.3   537.8   618.1   750.7   959.6  2180.3  9356.9 30121.0  97792.4    97712
read      432.7   633.3    68.9   109.8   130.6   320.1   406.5   458.5   503.3   568.6   675.7  1286.3  2247.4  7207.6 29829.2  53537.6    53672
read      514.9   786.2    63.8   108.7   128.6   302.8   395.3   466.7   548.5   796.0  1430.0  1831.6  2500.9  7646.9 31236.9  55540.0    55395
read      502.4   873.4    63.8   107.3   125.9   310.0   432.4   581.8   810.1   954.3  1087.1  1253.2  2095.8  9652.7 35175.1  29477.6    29425
read      430.6   752.2    68.9   112.0   133.9   318.4   466.1   575.1   636.8   694.2   756.4   841.4  1138.3 10436.4 31318.1  15013.8    15173
read      463.9   697.2    68.9   117.6   146.1   352.2   421.9   468.9   516.0   595.5   719.6  1399.4  2704.0  7541.4 29726.1  82367.8    82475
read      404.1   575.2    68.9   118.2   145.4   336.5   406.6   450.1   486.6   539.5   623.7   754.8  2297.3  6935.0 30355.5  90613.0    90555
read      474.3   545.6    68.9   108.6   127.7   304.1   397.6   471.3   550.4   801.2  1309.1  1605.7  2026.9  4209.8 12673.7  48024.6    47944
read      514.6   917.4    68.9   107.2   127.3   314.5   450.0   640.7   828.1   952.3  1070.0  1225.7  2370.4 10079.1 31670.8  28294.2    28313
read      529.5  1137.1    68.9   104.5   123.7   310.4   444.2   635.0   815.1   932.1  1045.9  1193.3  3101.2 16028.5 36930.2  28444.4    28504
read      540.9  1117.7    68.9   106.1   127.9   314.6   473.3   669.8   780.7   872.7   975.8  1162.3  3824.2 14195.6 32196.4  22967.8    22886
read      528.4   945.2    68.9   106.0   125.8   310.6   420.2   539.0   796.7  1035.5  1202.1  1406.7  2731.2 12343.4 32414.3  35649.0    35717
read      573.0  1785.4    68.9   106.6   129.6   311.9   459.0   560.1   618.0   677.3   747.4   873.8  7001.3 31538.4 40524.4  14883.2    14828
read      497.7   778.1    68.9   118.7   149.4   355.4   423.0   478.2   540.0   640.5   793.6  1571.8  2735.3  9809.0 30907.0  81646.2    81704
read      461.5   635.7    68.9   106.6   126.2   301.3   390.8   454.9   519.1   638.4  1132.2  1589.8  2171.3  6254.4 25463.8  55856.2    55771
read      469.3   726.3    68.9   118.5   147.8   351.4   419.9   469.0   519.3   605.3   729.5  1470.1  2567.8  9085.2 30825.0  85244.6    85226
read      401.0   584.8    68.9   111.8   133.8   320.1   397.8   445.2   483.8   536.0   613.3   753.7  2413.0  6372.6 29909.5  74921.4    75020
read      638.5  2244.8    68.9   109.1   133.2   312.4   439.7   520.0   569.9   624.5   691.6   850.0  8607.5 31947.6 37708.6  12536.2    12441
read      472.6   646.9    68.9   106.5   126.6   302.2   390.5   454.7   520.2   640.6  1204.3  1713.9  2276.0  7052.6 15739.0  56170.8    56208
read      563.5  1574.6    68.9   106.6   128.4   309.6   448.7   580.9   660.6   732.8   809.4   936.7  6753.5 29290.9 37055.4  17403.8    17446
read      442.8   659.2    68.9   117.5   146.5   346.1   415.0   461.9   505.7   576.6   681.8   917.9  2496.6  8339.7 30635.5  86988.2    86943
read      484.2   679.3    68.9   105.7   125.1   302.4   395.2   474.9   572.4   907.1  1291.0  1564.3  2017.3  5927.5 29970.2  49168.4    49138
read      493.5   699.4    68.9   105.8   125.6   301.9   396.5   478.2   579.1   924.5  1319.2  1609.2  2093.1  8796.6 25362.5  49908.8    49839
read      501.9   779.8    63.8   104.0   123.3   303.7   395.4   472.7   567.5   962.3  1337.6  1613.6  2131.3  8017.1 30904.4  47548.6    47752
read      504.2   907.8    68.9   104.2   124.2   307.6   441.4   639.6   809.5   920.8  1034.5  1176.3  2718.4  9438.9 32200.1  27148.0    27181
read      661.2  2599.8    74.4   120.5   152.9   264.0   326.6   363.7   390.1   422.1   469.3   782.7 11490.3 34109.9 40074.3   6137.4     6170
read      628.4  2474.6    74.4   114.5   144.3   273.0   348.5   391.9   421.4   456.0   503.8   682.1  9414.8 35095.8 38234.4   7214.0     7187
read      517.1   806.1    68.9   144.0   194.1   402.2   456.8   500.3   563.3   686.3   818.7  1191.3  2435.3 11067.3 31863.0  99328.0    99387
read      391.2   553.0    68.9   115.9   142.1   328.5   399.4   441.9   477.2   528.9   606.9   730.5  1946.3  6891.6 27897.2  91884.2    91970
read      404.0   734.0    68.9   111.3   133.9   323.1   397.4   442.1   478.4   530.1   607.6   738.9  2392.9  9550.4 31883.2  79541.2    79658
read      442.2   640.4    68.9   108.6   129.4   310.1   394.8   450.1   499.9   576.8   738.0  1534.4  2253.2  6011.4 28764.1  59267.2    59230
read      479.6   756.2    68.9   115.6   143.5   346.4   415.8   471.2   528.2   611.7   729.4  1503.5  2758.0  8445.0 31270.8  78106.2    78081
read      405.8   624.1    68.9   109.0   130.6   317.4   397.4   444.6   482.5   537.0   614.9   789.4  2290.0  6662.9 30914.2  64136.0    64242
read      460.1   550.3    68.9   107.2   126.0   300.0   393.6   491.3   649.4   963.8  1142.1  1320.9  1619.6  7070.8 14156.4  37771.0    37702
read      482.2   511.9    68.9   108.9   128.0   312.1   411.1   513.2   684.6  1040.9  1244.5  1443.9  1833.8  4051.8  9029.2  40640.8    40686
read      563.7  1033.0    68.9   110.6   132.1   329.3   467.3   675.7   882.7  1034.3  1167.5  1368.9  3504.9 12861.3 32419.7  30250.8    30376
read      552.4   891.1    74.4   113.8   135.0   334.8   446.3   565.6   793.6  1120.5  1330.8  1564.2  2205.7 10924.2 32024.9  38435.8    38416
read      470.1   897.9    68.9   116.7   141.3   343.8   424.8   475.0   520.5   584.7   686.7  1120.3  2719.3 10154.1 32485.6  65925.8    65892
read      526.4   814.2    68.9   113.8   135.1   335.4   439.1   534.0   654.8  1008.2  1288.5  1546.8  2107.7  8426.0 31689.1  39651.8    39560
read      555.8  1903.4    74.4   110.4   135.4   302.7   415.1   480.2   522.5   568.6   629.2   752.5  6014.1 31630.9 48377.2  10153.0    10016
read      484.9   642.7    68.9   108.5   128.1   298.7   391.2   469.1   560.8   847.8  1320.1  1660.5  2174.7  5185.8 25117.3  55135.2    55224
read      541.9  1366.6    68.9   107.4   129.4   316.3   478.1   646.9   736.9   815.6   900.0  1033.2  4262.3 17392.0 41576.7  20152.6    19982
read      506.1   737.1    68.9   107.8   127.9   309.1   406.5   494.4   597.1   967.2  1338.2  1617.1  2136.8  8285.9 30617.8  47983.2    48114
