1621812986.7171493	dedup	start	0,1,2	3
1621812987.2800896	fft	start	0,1	2
1621812991.4547133	fft	pause
1621812994.8987126	dedup	update	0,1
1621812999.7069027	dedup	update	0,1,2
1621813014.6235895	dedup	update	0,1
1621813024.706864	dedup	update	0,1,2
1621813028.8158553	fft	resume
1621813030.649601	dedup	remove
1621813031.111284	blackscholes	start	0,1,2	3
1621813039.6688483	blackscholes	update	0,1
1621813049.3067234	blackscholes	update	0,1,2
1621813056.1497462	fft	pause
1621813079.9866686	blackscholes	update	0,1
1621813085.4918358	blackscholes	update	0,1,2
1621813089.7963772	blackscholes	update	0,1
1621813099.3478448	blackscholes	update	0,1,2
1621813108.2267427	blackscholes	update	0,1
1621813109.646189	blackscholes	update	0,1,2
1621813114.6403313	blackscholes	update	0,1
1621813119.4591029	blackscholes	update	0,1,2
1621813150.0346324	blackscholes	update	0,1
1621813167.0790987	blackscholes	update	0,1,2
1621813169.9193892	blackscholes	update	0,1
1621813179.4800522	blackscholes	update	0,1,2
1621813183.5508058	fft	resume
1621813193.43989	blackscholes	remove
1621813193.974698	canneal	start	0,1,2	3
1621813199.3736944	canneal	update	0,1
1621813204.9110208	canneal	update	0,1,2
1621813244.447911	canneal	update	0,1
1621813249.3025658	canneal	update	0,1,2
1621813259.5836096	canneal	update	0,1
1621813264.4200056	canneal	update	0,1,2
1621813269.964753	canneal	update	0,1
1621813274.786314	canneal	update	0,1,2
1621813284.4082165	canneal	update	0,1
1621813289.2907484	canneal	update	0,1,2
1621813294.093376	fft	remove
1621813294.8068516	canneal	update	0,1
1621813299.506473	canneal	update	0,1,2
1621813309.5641568	canneal	update	0,1
1621813314.2833211	canneal	update	0,1,2
1621813319.6427877	canneal	update	0,1
1621813329.6700647	canneal	update	0,1,2
1621813344.3043296	canneal	update	0,1
1621813349.674776	canneal	update	0,1,2
1621813374.3122172	canneal	update	0,1
1621813379.7064424	canneal	update	0,1,2
1621813384.431718	canneal	update	0,1
1621813389.8026056	canneal	update	0,1,2
1621813394.5156841	canneal	update	0,1
1621813404.5625396	canneal	update	0,1,2
1621813414.6006784	canneal	update	0,1
1621813419.3104675	canneal	update	0,1,2
1621813424.7079532	canneal	update	0,1
1621813429.4142973	canneal	update	0,1,2
1621813434.7925994	canneal	update	0,1
1621813451.4955661	canneal	update	0,1,2
1621813454.2559135	canneal	update	0,1
1621813460.3151977	canneal	update	0,1,2
1621813486.301922	canneal	update	0,1
1621813493.2011895	canneal	remove
1621813494.351337	ferret	start	0,1	3
1621813495.0588574	ferret	update	0,1,2
1621813514.3635147	ferret	update	0,1
1621813519.7390065	ferret	update	0,1,2
1621813529.8724115	ferret	update	0,1
1621813534.6026983	ferret	update	0,1,2
1621813564.5194736	ferret	update	0,1
1621813574.547076	ferret	update	0,1,2
1621813584.5964937	ferret	update	0,1
1621813590.6396158	ferret	update	0,1,2
1621813610.0504892	ferret	update	0,1
1621813614.768124	ferret	update	0,1,2
1621813625.46314	ferret	update	0,1
1621813629.5110164	ferret	update	0,1,2
1621813650.1551313	ferret	update	0,1
1621813653.5305502	ferret	update	0,1,2
1621813664.888255	ferret	update	0,1
1621813669.6102405	ferret	update	0,1,2
1621813674.3993993	ferret	update	0,1
1621813679.7584653	ferret	update	0,1,2
1621813684.6602826	ferret	update	0,1
1621813689.3878605	ferret	update	0,1,2
1621813714.675474	ferret	update	0,1
1621813730.7015731	ferret	update	0,1,2
1621813779.8589432	ferret	update	0,1
1621813784.5883145	ferret	update	0,1,2
1621813809.8950691	ferret	update	0,1
1621813829.2530067	ferret	update	0,1,2
1621813844.5923967	ferret	update	0,1
1621813859.2885988	ferret	update	0,1,2
1621813864.6875825	ferret	update	0,1
1621813879.3753588	ferret	update	0,1,2
1621813884.8552341	ferret	update	0,1
1621813899.5581384	ferret	update	0,1,2
1621813914.897164	ferret	update	0,1
1621813919.5994432	ferret	update	0,1,2
1621813934.9518902	ferret	update	0,1
1621813939.6675506	ferret	update	0,1,2
1621813954.3116279	ferret	update	0,1
1621813959.674467	ferret	update	0,1,2
1621813964.3907819	ferret	update	0,1
1621813969.7554185	ferret	update	0,1,2
1621813972.4783444	ferret	update	0,1
1621813974.5426764	ferret	update	0,1,2
1621813979.9297464	ferret	update	0,1
1621813989.951398	ferret	update	0,1,2
1621814004.6361759	ferret	update	0,1
1621814009.3480115	ferret	update	0,1,2
1621814015.3744895	ferret	update	0,1
