ubuntu@client-measure-pmp6:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.226 -a 10.156.15.225 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1500 --qps_interval 5 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 300 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559, 55885, 9039, 66378, 41225, 52371, 39873, 41176, 85357, 85391, 91890, 57558, 9972, 74636, 29773, 63494, 7201, 49507, 65454, 88537, 36982, 88964, 96479, 47883, 50650, 89242, 7374, 8507, 50676, 57069, 43520, 56720, 68155, 60444, 63997, 17315, 78596, 81548, 97254, 46135, 13379, 46993, 98274, 97056, 43434, 36406, 99121, 80708, 40517, 34168, 11754, 93304, 64697, 92626, 75618, 85805, 18930, 50153, 10377, 33112, 28777, 45709, 74458, 73596, 28031, 45754, 80138, 64350, 51870, 81106, 82064, 30534, 25449, 67525, 27070, 41133)
Average QPS expected = 51692
Timestamp start: 1621816934109
Timestamp end: 1621818434668

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      403.9  1204.3    80.4   150.3   189.2   284.0   329.9   359.3   382.2   412.1   459.0   560.0  3144.9 28612.2 33163.8   5016.8     5031
read      460.0   708.2    68.9   115.3   137.6   330.1   420.7   477.6   526.5   592.9   712.9  1453.2  2564.9  7861.1 31120.7  54780.2    54838
read      467.9   656.5    68.9   120.6   146.6   355.1   435.9   492.7   542.3   614.6   731.0  1438.7  2640.4  5618.4 31159.5  75190.0    74868
read      532.1   827.5    68.9   112.7   134.9   341.5   469.0   594.4   818.8  1024.9  1172.6  1353.0  2151.8  9754.3 31920.9  30014.2    30015
read      565.7   921.7    68.9   110.8   131.6   343.5   441.0   528.6   618.2  1095.3  1499.8  1774.6  2686.1  9291.3 32235.3  40716.6    40743
read      634.4  1383.2    68.9   113.9   137.4   355.7   525.4   743.4   889.4  1005.3  1124.5  1342.6  5516.3 24689.8 36831.5  23725.2    23648
read      503.8   698.2    68.9   147.1   194.7   425.5   500.5   545.3   586.4   656.8   786.2   986.8  2014.4  9905.7 31070.4  97584.4    97712
read      468.9   619.8    68.9   112.3   133.4   322.5   412.6   469.5   521.8   597.5   789.0  1770.2  2407.0  5295.6 15841.1  53696.8    53672
read      437.6   587.8    68.9   114.3   135.3   330.4   419.0   472.5   517.8   578.6   668.9  1115.3  2456.9  6577.2 20768.8  55334.0    55395
read      479.1   572.1    68.9   110.0   129.1   314.9   427.7   529.9   669.3  1001.4  1170.1  1345.7  1742.0  5057.3 25120.0  29461.4    29425
read      458.6   697.4    68.9   116.6   141.0   352.0   499.3   612.3   676.0   738.1   809.2   924.9  1542.0  7268.1 30338.5  15072.6    15173
read      460.7   695.1    68.9   123.1   151.6   360.8   438.0   492.1   537.6   600.1   701.5   936.5  2740.1  7559.0 31061.9  82695.6    82475
read      434.2   628.1    68.9   126.5   157.7   361.7   442.6   493.1   532.8   586.6   669.1   819.7  2090.8  7737.6 30654.0  90524.0    90555
read      480.3   550.3    68.9   110.7   130.4   324.1   415.2   476.0   536.0   626.3  1244.5  1779.6  2282.3  4205.7  9528.3  47908.4    47944
read      484.7   481.7    68.9   113.4   133.8   333.1   459.6   585.8   835.9  1011.3  1133.5  1268.3  1522.4  2844.8 11471.3  28405.0    28313
read      552.2   911.0    68.9   112.0   133.6   340.3   495.9   672.7   880.5  1020.0  1145.1  1321.3  2981.2  9433.5 31808.0  28378.6    28504
read      530.6   949.8    68.9   109.8   130.9   336.8   498.7   690.1   815.8   925.7  1021.8  1166.1  2740.4 10757.7 35259.4  22861.8    22886
read      557.6  1001.1    68.9   109.1   129.0   328.5   437.5   545.0   746.6  1112.9  1311.7  1548.2  2968.5 10906.0 36083.9  35730.0    35717
read      630.9  2005.9    74.4   111.9   136.0   340.1   492.1   610.7   671.5   732.6   808.2   975.8  7377.0 31677.6 37796.9  14876.6    14828
