ubuntu@client-measure-pmp6:~/memcache-perf-dynamic$ ./mcperf -s 10.156.15.226 -a 10.156.15.225 --noload -T 16 -C 4 -D 4 -Q 1000 -c 4 -t 1500 --qps_interval 5 --qps_min 5000 --qps_max 100000 --qps_seed 42
Random waveform, supplied seed
Total number of intervals = 300 (5031, 54838, 74868, 30015, 40743, 23648, 97712, 53672, 55395, 29425, 15173, 82475, 90555, 47944, 28313, 28504, 22886, 35717, 14828, 81704, 55771, 85226, 75020, 12441, 56208, 17446, 86943, 49138, 49839, 47752, 27181, 6170, 7187, 99387, 91970, 79658, 59230, 78081, 64242, 37702, 40686, 30376, 38416, 65892, 39560, 10016, 55224, 19982, 48114, 36283, 23315, 11150, 98724, 56880, 13467, 99368, 46206, 71651, 22741, 56654, 99570, 23047, 70008, 42943, 46704, 75970, 21917, 82027, 81583, 14259, 7821, 17727, 65559, 41133, 28693, 53141, 54512, 14835, 98446, 38117, 77994, 30209, 68315, 91940, 49308, 46880, 92540, 49396, 97841, 35404, 80451, 87228, 75554, 57964, 83546, 55468, 34203, 37629, 34577, 47426, 58845, 66993, 10977, 51529, 48344, 5902, 71602, 41886, 47456, 93939, 16890, 45689, 32790, 44044, 28149, 39739, 72475, 93882, 6692, 50406, 83055, 55609, 16968, 43031, 17236, 82183, 42212, 12244, 61777, 36984, 29093, 41715, 34838, 63574, 24401, 32025, 98971, 23657, 67877, 53849, 79536, 17081, 39024, 26125, 33388, 20979, 95865, 73949, 60987, 54175, 51484, 39771, 32864, 42033, 43808, 45785, 35582, 38504, 15320, 74264, 43890, 5962, 38365, 55971, 23217, 87681, 91728, 96668, 80475, 27150, 53444, 23737, 87776, 82175, 98548, 37704, 64701, 69089, 89785, 16676, 69604, 99682, 97693, 17381, 40069, 8841, 56576, 21599, 53003, 19831, 80340, 28765, 25572, 37071, 75819, 44359, 95960, 59630, 47930, 65545, 94038, 51806, 48712, 13115, 76569, 19372, 59331, 62597, 37702, 41975, 26100, 82500, 50756, 66696, 53364, 10413, 64876, 69079, 19447, 81182, 25265, 9699, 48659, 75126, 96559, 55885, 9039, 66378, 41225, 52371, 39873, 41176, 85357, 85391, 91890, 57558, 9972, 74636, 29773, 63494, 7201, 49507, 65454, 88537, 36982, 88964, 96479, 47883, 50650, 89242, 7374, 8507, 50676, 57069, 43520, 56720, 68155, 60444, 63997, 17315, 78596, 81548, 97254, 46135, 13379, 46993, 98274, 97056, 43434, 36406, 99121, 80708, 40517, 34168, 11754, 93304, 64697, 92626, 75618, 85805, 18930, 50153, 10377, 33112, 28777, 45709, 74458, 73596, 28031, 45754, 80138, 64350, 51870, 81106, 82064, 30534, 25449, 67525, 27070, 41133)
Average QPS expected = 51692
Timestamp start: 1621819053487
Timestamp end: 1621820554088

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      385.4  1234.8    74.4   144.2   179.4   267.9   305.5   330.0   349.5   378.4   422.6   520.4  3165.7 30223.2 32474.8   4984.4     5031
read      451.6   641.1    68.9   115.4   137.7   326.1   418.7   474.2   524.6   595.0   735.9  1489.4  2218.6  5884.8 30619.2  54698.8    54838
read      411.1   621.3    68.9   114.4   136.6   327.1   406.8   454.6   492.6   545.3   624.6   771.2  2472.8  7702.8 30061.9  74715.0    74868
read      525.7   865.6    68.9   111.1   132.1   329.7   458.6   601.6   832.8  1000.1  1137.3  1304.6  2299.9  9254.7 32121.9  30022.8    30015
read      524.8   808.2    68.9   110.9   131.1   327.1   423.1   510.7   620.0  1068.7  1345.8  1587.5  2097.3  8693.9 31961.7  40739.8    40743
read      498.8   721.1    68.9   109.8   130.4   323.5   469.6   654.4   821.2   933.1  1028.1  1166.3  1978.5  8040.3 30934.7  23751.4    23648
read      480.0   661.0    68.9   140.2   181.0   398.2   463.6   505.0   548.0   626.9   757.5   940.3  2127.9  8783.1 29947.3  97804.4    97712
read      436.8   735.5    68.9   113.1   134.1   328.3   416.7   466.4   506.8   565.0   647.4   946.2  2436.4  8031.2 31647.5  53657.0    53672
read      486.4   746.3    74.4   113.4   135.3   328.2   418.6   473.9   526.8   604.9   802.9  1753.7  2613.6  8266.4 30829.3  55245.8    55395
read      487.3   735.2    68.9   113.1   133.9   320.4   433.4   537.4   696.0   943.5  1094.3  1264.2  1930.1  6963.8 32135.4  29487.0    29425
read      468.9   922.9    68.9   118.3   143.3   344.0   490.5   598.7   661.2   723.3   794.6   913.0  2238.1  8837.6 36697.7  15052.0    15173
read      441.6   690.0    68.9   122.0   148.8   348.2   425.3   472.2   513.9   576.0   670.2   870.1  2600.2  7366.7 31153.3  82385.0    82475
read      425.5   676.6    68.9   125.4   155.8   354.0   427.3   470.7   508.1   565.2   648.9   788.6  2118.2  7817.8 31255.2  90796.0    90555
read      490.4   578.7    68.9   113.4   133.6   320.3   416.7   492.9   577.6   860.0  1310.3  1628.6  2036.3  4702.0 18997.4  47869.6    47944
read      481.2   595.8    68.9   110.4   131.3   321.6   447.7   594.3   828.3   975.2  1092.8  1231.9  1503.5  5320.0 30798.9  28348.4    28313
read      512.1   810.6    68.9   108.3   128.1   317.7   457.3   645.6   841.9   965.1  1075.3  1224.0  2657.8  8949.2 31588.8  28424.8    28504
read      505.7   939.2    68.9   107.2   127.9   317.2   476.9   670.8   775.6   868.0   959.3  1088.2  2733.6 10951.4 32068.1  22875.4    22886
read      603.0  1218.4    68.9   110.0   132.0   334.3   451.5   578.1   876.6  1115.1  1289.3  1543.4  4401.0 15049.0 35629.3  35554.8    35717
read      618.7  1922.8    68.9   111.1   136.1   326.9   475.7   587.5   645.2   703.1   774.0   922.3  7057.3 31385.6 39484.3  14859.0    14828
